daytime,TP_rate,FP_rate,TN_rate,FN_rate,accuracy,loss,f1_score,benign_count,malicious_count,flow_num,benign_rate,nmr_fn_rate,nmr_benign_rate
2022-08-03 19:21:35,0.8656716417910447,0.0,1.0,0.13432835820895522,0.8679706601466992,0.6298022157145801,0.928,14,804,818,0.017114914425427872,0.6544000000000001,0.1198044009779951
2022-08-03 20:21:35,0.8728813559322034,0.0,1.0,0.1271186440677966,0.8747016706443914,0.62853179714128,0.9321266968325792,12,826,838,0.014319809069212411,0.6704,0.10023866348448687
2022-08-03 21:21:35,0.8456464379947229,0.0,1.0,0.15435356200527706,0.8480519480519481,0.6324924151409812,0.9163688348820586,12,758,770,0.015584415584415584,0.616,0.10909090909090909
2022-08-03 22:21:35,0.8914572864321608,0.0,1.0,0.10854271356783919,0.8927507447864945,0.5996053765555666,0.9426142401700319,12,995,1007,0.011916583912611719,0.8056000000000001,0.08341608738828203
2022-08-03 23:21:35,0.8629961587708067,0.0,1.0,0.13700384122919335,0.8652392947103275,0.625073650581246,0.9264604810996564,13,781,794,0.0163727959697733,0.6352000000000001,0.11460957178841309
2022-08-04 00:21:35,0.8626666666666667,0.0,1.0,0.13733333333333334,0.8648293963254593,0.6190619760181179,0.9262705798138869,12,750,762,0.015748031496062992,0.6096,0.11023622047244094
2022-08-04 01:21:35,0.8787158145065398,0.0,1.0,0.12128418549346016,0.88042203985932,0.6270409589683493,0.9354430379746835,12,841,853,0.01406799531066823,0.6824,0.09847596717467762
2022-08-04 02:21:35,0.871900826446281,0.0,1.0,0.128099173553719,0.8734693877551021,0.6155399109830025,0.9315673289183223,12,968,980,0.012244897959183673,0.784,0.08571428571428572
2022-08-04 03:21:35,0.8426829268292683,0.0,1.0,0.1573170731707317,0.8451380552220888,0.6323046907019287,0.914626075446724,13,820,833,0.015606242496998799,0.6664,0.1092436974789916
2022-08-04 04:21:35,0.8727050183598531,0.0,1.0,0.12729498164014688,0.8743961352657005,0.6241822554403353,0.9320261437908497,11,817,828,0.013285024154589372,0.6624,0.0929951690821256
2022-08-04 05:21:35,0.871859296482412,0.0,1.0,0.12814070351758794,0.8740740740740741,0.6177299091968732,0.9315436241610738,14,796,810,0.01728395061728395,0.648,0.12098765432098764
2022-08-04 06:21:35,0.8695073235685752,0.0,1.0,0.13049267643142476,0.8715596330275229,0.5877597687363829,0.9301994301994302,12,751,763,0.015727391874180863,0.6104,0.11009174311926605
2022-08-04 07:21:35,0.8459495351925631,0.0,1.0,0.15405046480743692,0.8483660130718954,0.6212215413168057,0.9165467625899281,12,753,765,0.01568627450980392,0.6120000000000001,0.10980392156862745
2022-08-04 08:21:35,0.8492597577388964,0.0,1.0,0.15074024226110364,0.8516556291390729,0.6266765536982799,0.9184861717612809,12,743,755,0.015894039735099338,0.604,0.11125827814569536
2022-08-04 09:21:35,0.8556291390728477,0.0,1.0,0.14437086092715232,0.8580729166666666,0.6090322209607862,0.9221984296930764,13,755,768,0.016927083333333332,0.6144000000000001,0.11848958333333333
2022-08-04 10:21:35,0.8747346072186837,0.0,1.0,0.12526539278131635,0.8765690376569037,0.6139701551870511,0.9331823329558324,14,942,956,0.014644351464435146,0.7648,0.10251046025104603
2022-08-04 11:21:35,0.877906976744186,0.0,1.0,0.12209302325581395,0.8795871559633027,0.6173258533508412,0.934984520123839,12,860,872,0.013761467889908258,0.6976000000000001,0.0963302752293578
2022-08-04 12:21:35,0.8374384236453202,0.0,1.0,0.1625615763546798,0.8405797101449275,0.6097784489643402,0.9115281501340483,12,609,621,0.01932367149758454,0.4968,0.13526570048309178
2022-08-04 13:21:35,0.8315789473684211,0.0,1.0,0.16842105263157894,0.8345642540620384,0.6209103570399876,0.9080459770114943,12,665,677,0.01772525849335303,0.5416000000000001,0.1240768094534712
2022-08-04 14:21:35,0.8578878748370273,0.0,1.0,0.1421121251629726,0.8604353393085787,0.6054931259433425,0.9235087719298246,14,767,781,0.01792573623559539,0.6248,0.12548015364916773
2022-08-04 15:21:35,0.8898582333696837,0.0,1.0,0.11014176663031625,0.8915145005370569,0.5634633410126466,0.9417195614541258,14,917,931,0.015037593984962405,0.7448000000000001,0.10526315789473684
2022-08-04 16:21:35,0.89,0.0,1.0,0.11,0.8916256157635468,0.5817673054513666,0.9417989417989417,12,800,812,0.014778325123152709,0.6496000000000001,0.10344827586206896
2022-08-04 17:21:35,0.8777908343125734,0.0,1.0,0.12220916568742655,0.8794901506373117,0.5989530278402708,0.934918648310388,12,851,863,0.013904982618771726,0.6904,0.09733487833140209
2022-08-04 18:21:35,0.861731843575419,0.0,1.0,0.138268156424581,0.8643835616438356,0.6248232937973343,0.9257314328582146,14,716,730,0.019178082191780823,0.5840000000000001,0.13424657534246576
2022-08-04 19:21:35,0.8455538221528861,0.0,1.0,0.1544461778471139,0.8483920367534457,0.627130254695237,0.9163144547759933,12,641,653,0.018376722817764167,0.5224000000000001,0.12863705972434916
2022-08-04 20:21:35,0.8529886914378029,0.0,1.0,0.1470113085621971,0.8562401263823065,0.6102134483477656,0.9206625980819529,14,619,633,0.022116903633491312,0.5064000000000001,0.15481832543443919
2022-08-04 21:21:35,0.8719346049046321,0.0,1.0,0.12806539509536785,0.8743315508021391,0.6265023455826156,0.9315866084425036,14,734,748,0.01871657754010695,0.5984,0.13101604278074866
2022-08-04 22:21:35,0.9077615298087739,0.0,1.0,0.0922384701912261,0.9089900110987791,0.6095612643223055,0.9516509433962265,12,889,901,0.013318534961154272,0.7208000000000001,0.0932297447280799
