daytime,accuracy,precision,recall,f1_score,loss,benign_count,malicious_count,benign_rate,flow_num,nmr_flow_num_ratio,nmr_benign_ratio
2022-08-10 00:30:00,0.9763406940063092,0.9809825673534073,0.9951768488745981,0.9880287310454908,0.5753017809676637,12,622,0.01892744479495268,634,0.6388012618296529,0.4512306289881495
2022-08-10 01:30:00,0.9799465240641712,0.9812583668005355,0.9986376021798365,0.9898717083051992,0.5740257921858559,14,734,0.01871657754010695,748,0.6316844919786095,0.5533272561531449
2022-08-10 02:30:00,0.9798387096774194,0.9838056680161943,0.9959016393442623,0.9898167006109979,0.535626286694307,12,732,0.016129032258064516,744,0.5443548387096774,0.5515041020966271
2022-08-10 03:30:00,0.984251968503937,0.984251968503937,1.0,0.9920634920634921,0.5745087986987167,12,750,0.015748031496062992,762,0.5314960629921259,0.5679124886052871
2022-08-10 04:30:00,0.9799196787148594,0.9812332439678284,0.9986357435197817,0.9898580121703854,0.577293585590594,14,733,0.018741633199464525,747,0.6325301204819277,0.552415679124886
2022-08-10 05:30:00,0.9814126394052045,0.9826302729528535,0.9987389659520807,0.9906191369606003,0.5766738868178649,14,793,0.01734820322180917,807,0.5855018587360595,0.6071103008204193
2022-08-10 06:30:00,0.9806295399515739,0.9854014598540146,0.995085995085995,0.9902200488997555,0.5776721682178254,12,814,0.014527845036319613,826,0.49031476997578693,0.626253418413856
2022-08-10 07:30:00,0.9834905660377359,0.9858156028368794,0.9976076555023924,0.9916765755053508,0.5465500857055539,12,836,0.014150943396226415,848,0.4775943396226414,0.6463081130355515
2022-08-10 08:30:00,0.9827213822894169,0.9848484848484849,0.9978070175438597,0.9912854030501089,0.5244247536311936,14,912,0.01511879049676026,926,0.5102591792656587,0.7155879671832269
2022-08-10 09:30:00,0.9826086956521739,0.9847494553376906,0.9977924944812362,0.9912280701754386,0.571560361215411,14,906,0.015217391304347827,920,0.513586956521739,0.7101185050136736
2022-08-10 10:30:00,0.9829787234042553,0.9871794871794872,0.9956896551724138,0.9914163090128756,0.575300704668886,12,928,0.01276595744680851,940,0.43085106382978716,0.7301731996353692
2022-08-10 11:30:00,0.9857578840284842,0.9877675840978594,0.9979402677651905,0.992827868852459,0.5044358442622011,12,971,0.012207527975584944,983,0.41200406917599186,0.7693710118505013
2022-08-10 12:30:00,0.9857142857142858,0.9867986798679867,0.9988864142538976,0.9928057553956835,0.43673241350106595,12,898,0.013186813186813187,910,0.44505494505494503,0.7028258887876025
2022-08-10 13:30:00,0.981198589894242,0.983510011778563,0.997610513739546,0.9905100830367735,0.48502277053148074,14,837,0.01645123384253819,851,0.5552291421856639,0.6472196900638103
2022-08-10 14:30:00,0.9819494584837545,0.9855072463768116,0.9963369963369964,0.9908925318761385,0.5521425185940846,12,819,0.01444043321299639,831,0.4873646209386282,0.6308113035551504
2022-08-10 15:30:00,0.9863387978142076,0.9872379216043756,0.9990774907749077,0.9931224209078404,0.5310111353566641,14,1084,0.012750455373406194,1098,0.430327868852459,0.8723792160437557
2022-08-10 16:30:00,0.981226533166458,0.9824561403508771,0.9987261146496815,0.9905243209096652,0.5756118044532894,14,785,0.017521902377972465,799,0.5913642052565706,0.5998176845943481
2022-08-10 17:30:00,0.9629629629629629,0.9831932773109243,0.9790794979079498,0.9811320754716981,0.5757608053546379,12,717,0.01646090534979424,729,0.5555555555555556,0.5378304466727438
2022-08-10 18:30:00,0.9711538461538461,0.9833101529902643,0.9874301675977654,0.9853658536585366,0.5767317523149855,12,716,0.016483516483516484,728,0.5563186813186812,0.5369188696444849
2022-08-10 19:30:00,0.9677804295942721,0.9854191980558931,0.9818401937046005,0.9836264402668283,0.5852699325315526,12,826,0.014319809069212411,838,0.48329355608591884,0.6371923427529625
2022-08-10 20:30:00,0.9704329461457233,0.984994640943194,0.984994640943194,0.984994640943194,0.5300854483977299,14,933,0.014783526927138331,947,0.4989440337909187,0.7347310847766636
2022-08-10 21:30:00,0.9767955801104973,0.9844097995545658,0.9921436588103255,0.9882615986584684,0.5794134935442502,14,891,0.015469613259668509,905,0.5220994475138121,0.6964448495897902
2022-08-10 22:30:00,0.9736040609137055,0.9876416065911432,0.9856115107913669,0.9866255144032922,0.5902101137126081,12,973,0.012182741116751269,985,0.4111675126903553,0.7711941659070191
2022-08-10 23:30:00,0.96484375,0.9840637450199203,0.9801587301587301,0.9821073558648111,0.5827556667175376,12,756,0.015625,768,0.52734375,0.5733819507748404
2022-08-11 00:30:00,0.9655629139072848,0.9838056680161943,0.9811574697173621,0.9824797843665768,0.5879846577098674,12,743,0.015894039735099338,755,0.5364238410596025,0.5615314494074749
2022-08-11 01:30:00,0.9636363636363636,0.9801849405548216,0.9827814569536424,0.9814814814814815,0.5848313395714347,15,755,0.01948051948051948,770,0.6574675324675324,0.5724703737465815
2022-08-11 02:30:00,0.9664596273291925,0.9835651074589128,0.9823232323232324,0.9829437776373974,0.5829384305579011,13,792,0.016149068322981366,805,0.5450310559006211,0.6061987237921604
2022-08-11 03:30:00,0.9759665621734587,0.9873150105708245,0.9883597883597883,0.98783712321523,0.5766613977751885,12,945,0.012539184952978056,957,0.4231974921630094,0.7456700091157702
2022-08-11 04:30:00,0.9786552828175027,0.9870828848223897,0.9913513513513513,0.9892125134843581,0.5828112512351686,12,925,0.012806830309498399,937,0.4322305229455709,0.7274384685505925
2022-08-11 05:30:00,0.9762931034482759,0.982646420824295,0.993421052631579,0.9880043620501636,0.5387404606501724,16,912,0.017241379310344827,928,0.5818965517241379,0.7155879671832269
