daytime,TP_rate,FP_rate,TN_rate,FN_rate,accuracy,loss,f1_score,benign_count,malicious_count,flow_num,benign_rate,nmr_fn_rate,nmr_benign_rate
2023-04-04 17:45:24,0.9683615819209039,1.0,0.0,0.031638418079096044,0.955406911928651,0.5225481829325763,0.9771949828962372,12,885,897,0.013377926421404682,0.2626647144948755,0.4862876254180602
2023-04-04 18:45:24,0.9536934950385888,1.0,0.0,0.04630650496141125,0.941240478781284,0.5436880145719714,0.9697309417040358,12,907,919,0.013057671381936888,0.26910688140556366,0.4746463547334059
2023-04-04 19:45:24,0.9445628997867804,1.0,0.0,0.05543710021321962,0.9316508937960042,0.5337684856530199,0.9646162221012521,13,938,951,0.013669821240799159,0.27847730600292825,0.49689800210304946
2023-04-04 20:45:24,0.9551616266944735,1.0,0.0,0.04483837330552659,0.9433573635427395,0.5277262256651524,0.9708532061473238,12,959,971,0.012358393408856848,0.2843338213762811,0.4492276004119464
2023-04-04 21:45:24,0.958374628344896,1.0,0.0,0.04162537165510406,0.9471106758080313,0.5267602815975656,0.9728370221327968,12,1009,1021,0.011753183153770812,0.29897510980966324,0.42722820763956904
2023-04-04 22:45:24,0.9598811292719168,1.0,0.0,0.04011887072808321,0.9506990434142752,0.5413433629086194,0.974726518294983,13,1346,1359,0.009565857247976454,0.3979502196193264,0.34771891096394414
2023-04-04 23:45:24,0.9492822966507177,1.0,0.0,0.05071770334928229,0.9385052034058656,0.5349495964480655,0.9682772083943387,12,1045,1057,0.011352885525070956,0.30951683748169834,0.41267738883632926
2023-04-05 00:45:24,0.9411764705882353,1.0,0.0,0.058823529411764705,0.928220255653884,0.5344044790378102,0.9627740948495666,14,1003,1017,0.01376597836774828,0.2978038067349927,0.5003933136676499
2023-04-05 01:45:24,0.9377593360995851,1.0,0.0,0.06224066390041494,0.9243353783231084,0.5469850331948828,0.9606801275239107,14,964,978,0.014314928425357873,0.2863836017569546,0.5203476482617587
2023-04-05 02:45:24,0.9464692482915718,1.0,0.0,0.05353075170842825,0.9337078651685393,0.5477197002974294,0.9657176060429983,12,878,890,0.01348314606741573,0.260614934114202,0.4901123595505618
2023-04-05 03:45:24,0.9302071973827699,1.0,0.0,0.0697928026172301,0.9181916038751345,0.5430639233718136,0.957351290684624,12,917,929,0.012917115177610334,0.2720351390922401,0.46953713670613567
2023-04-05 04:45:24,0.9378531073446328,1.0,0.0,0.062146892655367235,0.9232480533926585,0.5464971048458512,0.9600925390399074,14,885,899,0.01557285873192436,0.2632503660322108,0.5660734149054505
2023-04-05 05:45:24,0.9526578073089701,1.0,0.0,0.0473421926910299,0.9432565789473685,0.546384159600969,0.9707998307236564,12,1204,1216,0.009868421052631578,0.35607613469985355,0.35871710526315786
2023-04-05 06:45:24,0.9463829787234043,1.0,0.0,0.05361702127659575,0.9352396972245585,0.5336338483855232,0.9665362885701869,14,1175,1189,0.011774600504625737,0.34816983894582715,0.42800672834314557
2023-04-05 07:45:24,0.9406934306569343,1.0,0.0,0.05930656934306569,0.9288288288288288,0.5365402448224837,0.9631013545072397,14,1096,1110,0.012612612612612612,0.3250366032210834,0.45846846846846845
2023-04-05 08:45:24,0.9409090909090909,1.0,0.0,0.05909090909090909,0.9282511210762332,0.5437113891981061,0.9627906976744186,12,880,892,0.013452914798206279,0.2612005856515373,0.48901345291479825
2023-04-05 09:45:24,0.9435707678075855,1.0,0.0,0.056429232192414434,0.9332113449222323,0.517666235688012,0.9654519640321817,12,1081,1093,0.010978956999085087,0.3200585651537335,0.39908508691674294
2023-04-05 10:45:24,0.945829750644884,1.0,0.0,0.05417024935511608,0.9361702127659575,0.5303548096225162,0.967032967032967,12,1163,1175,0.010212765957446808,0.34407027818448016,0.3712340425531915
2023-04-05 11:45:24,0.9593253968253969,1.0,0.0,0.040674603174603176,0.9471106758080313,0.5229136692640916,0.9728370221327968,13,1008,1021,0.012732615083251714,0.29897510980966324,0.4628305582761998
