daytime,TP,FN,FP,TN,flow_num,TP_rate,FP_rate,FN_rate,TN_rate,accuracy,precision,f1_score,loss,benign_rate,nmr_fn_rate,nmr_benign_rate
2022-08-03 17:20:07,0.0,896.0,0.0,12.0,908.0,0.0,0.0,1.0,1.0,0.013215859030837005,0.0,0.0,1.0,0.013215859030837005,0.7400530503978782,0.18007338248869487
2022-08-03 18:20:07,52.0,782.0,0.0,15.0,849.0,0.06235011990407674,0.0,0.9376498800959233,1.0,0.07891637220259129,1.0,0.11738148984198646,1.0,0.0176678445229682,0.5835543766578246,0.8027746795262334
2022-08-03 19:20:07,770.0,31.0,14.0,0.0,815.0,0.9612983770287141,1.0,0.03870162297128589,0.0,0.9447852760736196,0.9821428571428571,0.9716088328075709,1.0,0.01717791411042945,0.49336870026525204,0.7342478831372428
2022-08-03 20:20:07,825.0,0.0,12.0,0.0,837.0,1.0,1.0,0.0,0.0,0.985663082437276,0.985663082437276,0.9927797833935018,1.0,0.014336917562724014,0.5517241379310345,0.336876364685041
2022-08-03 21:20:07,756.0,1.0,12.0,0.0,769.0,0.9986789960369881,1.0,0.001321003963011889,0.0,0.9830949284785435,0.984375,0.9914754098360656,1.0,0.015604681404421327,0.37135278514588843,0.5141990873124009
2022-08-03 22:20:07,994.0,0.0,12.0,0.0,1006.0,1.0,1.0,0.0,0.0,0.9880715705765407,0.9880715705765407,0.9939999999999999,1.0,0.011928429423459244,1.0000000000000002,0.0
2022-08-03 23:20:07,785.0,0.0,13.0,0.0,798.0,1.0,1.0,0.0,0.0,0.9837092731829574,0.9837092731829574,0.9917877447883766,1.0,0.016290726817042606,0.4482758620689655,0.6101565806647478
2022-08-04 00:20:07,746.0,0.0,12.0,0.0,758.0,1.0,1.0,0.0,0.0,0.9841688654353562,0.9841688654353562,0.9920212765957447,1.0,0.0158311345646438,0.3421750663129972,0.545873196951352
2022-08-04 01:20:07,843.0,0.0,12.0,0.0,855.0,1.0,1.0,0.0,0.0,0.9859649122807017,0.9859649122807017,0.9929328621908127,1.0,0.014035087719298246,0.5994694960212199,0.2946592830440382
2022-08-04 02:20:07,956.0,0.0,12.0,0.0,968.0,1.0,1.0,0.0,0.0,0.987603305785124,0.987603305785124,0.9937629937629938,1.0,0.012396694214876033,0.8992042440318302,0.06549641580989563
2022-08-04 03:20:07,833.0,0.0,12.0,0.0,845.0,1.0,1.0,0.0,0.0,0.9857988165680474,0.9857988165680474,0.9928486293206198,1.0,0.014201183431952662,0.572944297082228,0.31789116820743035
2022-08-04 04:20:07,815.0,0.0,12.0,0.0,827.0,1.0,1.0,0.0,0.0,0.9854897218863361,0.9854897218863361,0.9926918392204628,1.0,0.014510278113663845,0.5251989389920422,0.3611243861838034
2022-08-04 05:20:07,785.0,0.0,14.0,0.0,799.0,1.0,1.0,0.0,0.0,0.9824780976220275,0.9824780976220275,0.9911616161616161,1.0,0.017521902377972465,0.45092838196286444,0.7823616833154619
2022-08-04 06:20:07,766.0,0.0,12.0,0.0,778.0,1.0,1.0,0.0,0.0,0.9845758354755784,0.9845758354755784,0.9922279792746114,1.0,0.015424164524421594,0.39522546419098137,0.48895010671448924
2022-08-04 07:20:07,748.0,0.0,12.0,0.0,760.0,1.0,1.0,0.0,0.0,0.9842105263157894,0.9842105263157894,0.9920424403183024,1.0,0.015789473684210527,0.34748010610079594,0.5400460700823682
2022-08-04 08:20:07,746.0,0.0,12.0,0.0,758.0,1.0,1.0,0.0,0.0,0.9841688654353562,0.9841688654353562,0.9920212765957447,1.0,0.0158311345646438,0.3421750663129972,0.545873196951352
2022-08-04 09:20:07,758.0,0.0,13.0,0.0,771.0,1.0,1.0,0.0,0.0,0.9831387808041504,0.9831387808041504,0.9914977109221713,1.0,0.016861219195849545,0.3766578249336867,0.6899516170279623
2022-08-04 10:20:07,940.0,0.0,14.0,0.0,954.0,1.0,1.0,0.0,0.0,0.9853249475890985,0.9853249475890985,0.9926082365364307,1.0,0.014675052410901468,0.8620689655172413,0.3841714443536177
2022-08-04 11:20:07,852.0,0.0,12.0,0.0,864.0,1.0,1.0,0.0,0.0,0.9861111111111112,0.9861111111111112,0.993006993006993,1.0,0.013888888888888888,0.6233421750663128,0.2742103841241772
2022-08-04 12:20:07,617.0,0.0,12.0,0.0,629.0,1.0,1.0,0.0,0.0,0.9809220985691574,0.9809220985691574,0.9903691813804173,1.0,0.019077901430842606,0.0,1.0
2022-08-04 13:20:07,664.0,0.0,12.0,0.0,676.0,1.0,1.0,0.0,0.0,0.9822485207100592,0.9822485207100592,0.9910447761194029,1.0,0.01775147928994083,0.12466843501326275,0.8144727135749377
2022-08-04 14:20:07,765.0,0.0,14.0,0.0,779.0,1.0,1.0,0.0,0.0,0.982028241335045,0.982028241335045,0.9909326424870466,1.0,0.01797175866495507,0.3978779840848803,0.8452832929837051
2022-08-04 15:20:07,923.0,0.0,14.0,0.0,937.0,1.0,1.0,0.0,0.0,0.9850586979722519,0.9850586979722519,0.9924731182795699,1.0,0.014941302027748132,0.8169761273209548,0.4214119030296857
2022-08-04 16:20:07,800.0,0.0,12.0,0.0,812.0,1.0,1.0,0.0,0.0,0.9852216748768473,0.9852216748768473,0.9925558312655086,1.0,0.014778325123152709,0.4854111405835544,0.3986162470110153
2022-08-04 17:20:07,848.0,0.0,12.0,0.0,860.0,1.0,1.0,0.0,0.0,0.986046511627907,0.986046511627907,0.9929742388758782,1.0,0.013953488372093023,0.6127320954907163,0.28324594411202275
