daytime,TP_rate,FP_rate,TN_rate,FN_rate,accuracy,loss,f1_score,benign_count,malicious_count,flow_num,benign_rate,nmr_flow_num_rate,nmr_benign_rate
2022-08-03 18:54:05,0.46875,0.0,1.0,0.53125,0.48484848484848486,0.7353010924644082,0.6382978723404256,2,64,66,0.030303030303030304,0.3582089552238805,0.44696969696969696
2022-08-03 18:59:05,0.4126984126984127,,,0.5873015873015873,0.4126984126984127,0.7449369192943981,0.5842696629213483,0,63,63,0.0,0.31343283582089543,0.0
2022-08-03 19:04:05,0.47692307692307695,,,0.5230769230769231,0.47692307692307695,0.7478981699325428,0.6458333333333334,0,65,65,0.0,0.34328358208955223,0.0
2022-08-03 19:09:05,0.5362318840579711,0.0,1.0,0.463768115942029,0.5492957746478874,0.7235736994149101,0.6981132075471698,2,69,71,0.028169014084507043,0.4328358208955225,0.4154929577464789
2022-08-03 19:14:05,0.5074626865671642,0.0,1.0,0.4925373134328358,0.5217391304347826,0.7297851019483239,0.6732673267326733,2,67,69,0.028985507246376812,0.4029850746268657,0.427536231884058
2022-08-03 19:19:05,0.5625,,,0.4375,0.5625,0.7297442507739136,0.72,0,80,80,0.0,0.5671641791044777,0.0
2022-08-03 19:24:05,0.5074626865671642,,,0.4925373134328358,0.5074626865671642,0.7374620596536885,0.6732673267326733,0,67,67,0.0,0.3731343283582089,0.0
2022-08-03 19:29:05,0.5277777777777778,0.0,1.0,0.4722222222222222,0.5466666666666666,0.7281689590686453,0.6909090909090909,3,72,75,0.04,0.4925373134328359,0.59
2022-08-03 19:34:05,0.5,0.0,1.0,0.5,0.5070422535211268,0.7338551260960742,0.6666666666666666,1,70,71,0.014084507042253521,0.4328358208955225,0.20774647887323944
2022-08-03 19:39:05,0.5362318840579711,,,0.463768115942029,0.5362318840579711,0.7383404893865998,0.6981132075471698,0,69,69,0.0,0.4029850746268657,0.0
2022-08-03 19:44:05,0.5245901639344263,0.0,1.0,0.47540983606557374,0.5396825396825397,0.7286626308319368,0.6881720430107527,2,61,63,0.031746031746031744,0.31343283582089543,0.46825396825396826
2022-08-03 19:49:05,0.43859649122807015,0.0,1.0,0.5614035087719298,0.4576271186440678,0.7275924890579679,0.6097560975609756,2,57,59,0.03389830508474576,0.25373134328358204,0.5
2022-08-03 19:54:05,0.6461538461538462,,,0.35384615384615387,0.6461538461538462,0.6690140953405093,0.7850467289719626,0,65,65,0.0,0.34328358208955223,0.0
2022-08-03 19:59:05,0.7125,,,0.2875,0.7125,0.6753045990702503,0.8321167883211679,0,80,80,0.0,0.5671641791044777,0.0
2022-08-03 20:04:05,0.7272727272727273,0.0,1.0,0.2727272727272727,0.7368421052631579,0.6606027432672003,0.8421052631578947,2,55,57,0.03508771929824561,0.22388059701492535,0.5175438596491228
2022-08-03 20:09:05,0.6419753086419753,0.0,1.0,0.35802469135802467,0.6506024096385542,0.6741508452666602,0.7819548872180451,2,81,83,0.024096385542168676,0.6119402985074629,0.355421686746988
