daytime,TP_rate,FP_rate,TN_rate,FN_rate,accuracy,loss,f1_score,benign_count,malicious_count,flow_num,benign_rate,nmr_flow_num_ratio,nmr_benign_ratio
2022-08-10 01:30:00,0.5013623978201635,0.0,1.0,0.4986376021798365,0.5106951871657754,0.6538337355670477,0.6678765880217786,14,734,748,0.01871657754010695,0.5599639314697926,0.6316844919786095
2022-08-10 02:30:00,0.5150273224043715,0.0,1.0,0.4849726775956284,0.5228494623655914,0.6490148444592517,0.6798917944093779,12,732,744,0.016129032258064516,0.5563570784490531,0.5443548387096774
2022-08-10 03:30:00,0.5466666666666666,0.0,1.0,0.4533333333333333,0.5538057742782152,0.6479578815813539,0.7068965517241379,12,750,762,0.015748031496062992,0.5725879170423804,0.5314960629921259
2022-08-10 04:30:00,0.5129604365620737,0.0,1.0,0.4870395634379263,0.5220883534136547,0.6546695321542232,0.6780883678990082,14,733,747,0.018741633199464525,0.5590622182146078,0.6325301204819277
2022-08-10 05:30:00,0.49936948297604034,0.0,1.0,0.5006305170239597,0.5080545229244114,0.6495654155323135,0.6661059714045416,14,793,807,0.01734820322180917,0.6131650135256987,0.5855018587360595
2022-08-10 06:30:00,0.4705159705159705,0.0,1.0,0.5294840294840295,0.4782082324455206,0.6561913721814544,0.6399331662489557,12,814,826,0.014527845036319613,0.6302975653742109,0.49031476997578693
2022-08-10 07:30:00,0.4605263157894737,0.0,1.0,0.5394736842105263,0.4681603773584906,0.6553578023967543,0.6306306306306306,12,836,848,0.014150943396226415,0.6501352569882777,0.47759433962264153
2022-08-10 08:30:00,0.4967105263157895,0.0,1.0,0.5032894736842105,0.5043196544276458,0.6528488828212691,0.6637362637362637,14,912,926,0.01511879049676026,0.7204688908926961,0.5102591792656588
2022-08-10 09:30:00,0.46578366445916114,0.0,1.0,0.5342163355408388,0.47391304347826085,0.6616529198582343,0.6355421686746988,14,906,920,0.015217391304347827,0.715058611361587,0.5135869565217391
2022-08-10 10:30:00,0.49245689655172414,0.0,1.0,0.5075431034482759,0.498936170212766,0.6505483799698714,0.6599277978339351,12,928,940,0.01276595744680851,0.733092876465284,0.4308510638297872
2022-08-10 11:30:00,0.5592173017507724,0.0,1.0,0.4407826982492276,0.5645981688708036,0.6370447036723945,0.7173051519154557,12,971,983,0.012207527975584944,0.7718665464382326,0.41200406917599186
2022-08-10 12:30:00,0.6013363028953229,0.0,1.0,0.3986636971046771,0.6065934065934065,0.6339926446816849,0.7510431154381085,12,898,910,0.013186813186813187,0.7060414788097384,0.44505494505494503
2022-08-10 13:30:00,0.5758661887694145,0.0,1.0,0.4241338112305854,0.5828437132784959,0.6389000124988302,0.7308567096285065,14,837,851,0.01645123384253819,0.6528403967538323,0.555229142185664
2022-08-10 14:30:00,0.5335775335775336,0.0,1.0,0.46642246642246643,0.5403128760529483,0.6443040235166597,0.695859872611465,12,819,831,0.01444043321299639,0.6348061316501352,0.4873646209386282
2022-08-10 15:30:00,0.5452029520295203,0.0,1.0,0.4547970479704797,0.5510018214936248,0.6384923876168891,0.7056716417910448,14,1084,1098,0.012750455373406194,0.8755635707844904,0.43032786885245905
2022-08-10 16:30:00,0.4929936305732484,0.0,1.0,0.5070063694267516,0.5018773466833542,0.6519797952865434,0.6604095563139932,14,785,799,0.017521902377972465,0.60595130748422,0.5913642052565706
2022-08-10 17:30:00,0.48675034867503486,0.0,1.0,0.5132496513249651,0.49519890260631,0.6573067944858695,0.6547842401500938,12,717,729,0.01646090534979424,0.5428313796212805,0.5555555555555556
2022-08-10 18:30:00,0.4818435754189944,0.0,1.0,0.5181564245810056,0.49038461538461536,0.6567540079916313,0.6503298774740811,12,716,728,0.016483516483516484,0.5419296663660955,0.5563186813186813
2022-08-10 19:30:00,0.5205811138014528,0.0,1.0,0.4794188861985472,0.5274463007159904,0.6497756740895876,0.6847133757961783,12,826,838,0.014319809069212411,0.6411181244364292,0.4832935560859189
2022-08-10 20:30:00,0.5744908896034298,0.0,1.0,0.4255091103965702,0.5807814149947201,0.6300569111503974,0.7297481279782164,14,933,947,0.014783526927138331,0.739404869251578,0.4989440337909187
2022-08-10 21:30:00,0.5218855218855218,0.0,1.0,0.4781144781144781,0.5292817679558011,0.6515545037246204,0.6858407079646017,14,891,905,0.015469613259668509,0.7015329125338142,0.5220994475138122
2022-08-10 22:30:00,0.48612538540596095,0.0,1.0,0.513874614594039,0.49238578680203043,0.6605500722833123,0.6542185338865837,12,973,985,0.012182741116751269,0.7736699729486023,0.41116751269035534
2022-08-10 23:30:00,0.5224867724867724,0.0,1.0,0.4775132275132275,0.5299479166666666,0.6559568184021792,0.6863596872284969,12,756,768,0.015625,0.5779981965734896,0.52734375
2022-08-11 00:30:00,0.4360699865410498,0.0,1.0,0.5639300134589502,0.44503311258278144,0.6673860921720574,0.6073102155576382,12,743,755,0.015894039735099338,0.5662759242560865,0.5364238410596026
2022-08-11 01:30:00,0.4821192052980132,0.0,1.0,0.5178807947019868,0.4922077922077922,0.6663175592103752,0.6505808757819481,15,755,770,0.01948051948051948,0.5798016230838593,0.6574675324675324
2022-08-11 02:30:00,0.5012626262626263,0.0,1.0,0.49873737373737376,0.5093167701863354,0.659659820336823,0.6677880571909167,13,792,805,0.016149068322981366,0.6113615870153292,0.5450310559006211
2022-08-11 03:30:00,0.4888888888888889,0.0,1.0,0.5111111111111111,0.4952978056426332,0.6529785377908939,0.6567164179104478,12,945,957,0.012539184952978056,0.7484220018034264,0.4231974921630094
