ex_address,in_address,timestamp,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_interval,rcv_min_interval,rcv_max_length,rcv_min_length,snd_max_interval,snd_min_interval,snd_max_length,snd_min_length,label
89.248.165.104,192.168.10.5,2022-08-16 23:50:58,1,3,4,0,3384,4,60.0,60.0,44,0,0.24035000801086426,0.006882905960083008,44,0,1
14.17.114.113,192.168.10.5,2022-08-16 23:51:00,3,3,6,0,3389,6,0.2212989330291748,0.0629420280456543,59,0,0.2871401309967041,0.22134780883789062,83,0,1
89.248.165.60,192.168.10.5,2022-08-16 23:51:06,1,3,4,0,3350,4,60.0,60.0,44,0,0.23772501945495605,0.005939960479736328,44,0,1
196.245.250.10,192.168.10.5,2022-08-16 23:51:12,4,4,8,0,12346,8,1.0089240074157715,0.29079413414001465,60,0,1.2976160049438477,0.0020439624786376953,69,0,1
51.79.250.5,192.168.10.5,2022-08-16 23:51:20,3,4,7,0,3389,7,0.11470389366149902,0.09944009780883789,59,0,0.21120095252990723,0.0009119510650634766,83,0,1
208.67.107.247,192.168.10.5,2022-08-16 23:51:27,6,9,15,0,23,15,10.285746812820435,0.2665832042694092,86,0,14.4597909450531,0.0029430389404296875,531,0,1
160.44.201.156,192.168.10.5,2022-08-16 23:51:33,439,397,836,0,46900,41,0.3012959957122803,0.2711641788482666,11352,0,0.3116028308868408,9.5367431640625e-07,4136,0,1
220.220.248.1,192.168.10.5,2022-08-16 23:51:33,40,40,0,80,34841,2,1.1827361583709717,1.1489429473876953,75,0,1.1841661930084229,1.0575299263000488,91,0,1
35.185.216.187,192.168.10.5,2022-08-16 23:51:35,8,4,12,0,22,12,15.122164011001587,0.6122391223907471,52,0,15.12235689163208,15.100621938705444,52,0,1
39.103.135.19,192.168.10.5,2022-08-16 23:51:48,3,3,6,0,2376,6,2.0300140380859375,1.0176069736480713,44,0,3.162140130996704,0.022320985794067383,44,0,1
201.230.120.135,192.168.10.5,2022-08-16 23:51:49,12,13,25,0,3389,25,59.2332649230957,0.00180816650390625,59,0,58.96942687034607,1.1920928955078125e-06,83,0,1
194.87.71.134,192.168.10.5,2022-08-16 23:51:50,3,5,8,0,23,8,46.43054914474487,0.2594318389892578,60,0,46.17284798622131,0.2570528984069824,60,0,1
43.129.202.60,192.168.10.5,2022-08-16 23:52:13,14,12,26,0,22,26,0.9769411087036133,0.0013990402221679688,676,0,1.07454514503479,0.0005471706390380859,492,0,1
162.142.125.236,192.168.10.5,2022-08-16 23:52:22,1,2,3,0,8560,3,60.0,60.0,44,0,0.15907692909240723,0.15907692909240723,44,0,1
162.142.125.10,192.168.10.5,2022-08-16 23:52:22,9,13,22,0,8560,22,1.158297061920166,0.00010204315185546875,60,0,1.167726993560791,0.0002970695495605469,295,0,1
162.142.125.160,192.168.10.5,2022-08-16 23:52:27,1,2,3,0,8560,3,60.0,60.0,60,0,0.14270687103271484,0.14270687103271484,60,0,1
35.185.216.187,192.168.10.5,2022-08-16 23:52:35,4,3,7,0,22,7,10.322551965713501,0.2119739055633545,52,0,10.18815803527832,2.4356040954589844,52,0,1
212.192.246.198,192.168.10.5,2022-08-16 23:52:35,9,8,17,0,25,17,0.2692229747772217,0.24955105781555176,112,0,0.2698709964752197,0.0011570453643798828,52,0,1
220.220.248.1,192.168.10.5,2022-08-16 23:52:36,12,13,0,25,52398,3,34.30896306037903,1.1254141330718994,75,0,34.309020042419434,9.5367431640625e-07,122,0,1
160.44.201.156,192.168.10.5,2022-08-16 23:52:36,122,101,223,0,39098,31,48.45853400230408,0.012519121170043945,5696,0,48.45498991012573,9.5367431640625e-07,4136,0,1
45.227.253.186,192.168.10.5,2022-08-16 23:52:44,1,3,4,0,3322,4,60.0,60.0,44,0,0.24245810508728027,0.013134002685546875,44,0,1
201.230.120.135,192.168.10.5,2022-08-16 23:52:49,6,9,15,0,3389,15,0.2818901538848877,0.0019009113311767578,59,0,59.1778769493103,0.0014660358428955078,83,0,1
14.17.114.113,192.168.10.5,2022-08-16 23:53:02,4,4,8,0,3389,8,0.6782541275024414,0.1128089427947998,59,0,1.0116589069366455,0.00025916099548339844,83,0,1
188.92.75.248,192.168.10.5,2022-08-16 23:53:09,0,1,0,1,1900,1,60.0,60.0,0,0,60.0,60.0,125,0,1
92.255.85.30,192.168.10.5,2022-08-16 23:53:14,4,5,9,0,63100,9,1.0086290836334229,9.584426879882812e-05,52,0,1.3035390377044678,9.5367431640625e-07,87,0,1
87.121.54.225,192.168.10.5,2022-08-16 23:53:18,12,2,14,0,80,14,15.46562910079956,0.7734448909759521,60,0,0.8790850639343262,0.8790850639343262,64,0,1
94.102.61.37,192.168.10.5,2022-08-16 23:53:29,0,1,0,1,25080,1,60.0,60.0,0,0,60.0,60.0,57,0,1
43.129.202.60,192.168.10.5,2022-08-16 23:53:36,14,12,26,0,22,26,0.9719338417053223,0.0009980201721191406,676,0,1.102471113204956,0.0008609294891357422,492,0,1
160.44.201.156,192.168.10.5,2022-08-16 23:53:36,437,398,835,0,43448,44,0.27899909019470215,0.0004718303680419922,14180,0,0.28987693786621094,9.5367431640625e-07,4136,0,1
220.220.248.1,192.168.10.5,2022-08-16 23:53:36,41,42,0,83,32971,3,1.1595900058746338,1.0818068981170654,75,0,1.160283088684082,9.5367431640625e-07,125,0,1
51.79.250.5,192.168.10.5,2022-08-16 23:53:42,3,4,7,0,3389,7,0.10742378234863281,0.037687063217163086,59,0,0.13914704322814941,0.001466989517211914,83,0,1
106.39.231.119,192.168.10.5,2022-08-16 23:53:43,8,7,15,0,2376,15,1.010702133178711,0.23492097854614258,60,0,2.2386391162872314,0.00026702880859375,182,0,1
89.248.165.52,192.168.10.5,2022-08-16 23:53:47,15,19,34,0,5205,34,1.0086569786071777,0.2444758415222168,60,0,1.253269910812378,0.0002620220184326172,115,0,1
89.248.165.169,192.168.10.5,2022-08-16 23:53:50,1,3,4,0,33585,4,60.0,60.0,44,0,0.22582697868347168,0.008330821990966797,44,0,1
91.240.118.214,192.168.10.5,2022-08-16 23:54:04,1,3,4,0,34590,4,60.0,60.0,44,0,0.2943120002746582,0.005693912506103516,44,0,1
192.241.212.213,192.168.10.5,2022-08-16 23:54:27,6,1,7,0,7002,7,16.239187002182007,1.0096118450164795,44,0,60.0,60.0,44,0,1
92.255.85.195,192.168.10.5,2022-08-16 23:54:28,14,18,32,0,8991,17,22.76712989807129,0.00011491775512695312,52,0,22.19769811630249,9.5367431640625e-07,84,0,1
192.168.3.116,172.29.148.192,2022-08-16 23:54:29,0,12,12,0,55443,12,60.0,60.0,0,0,12.843962907791138,1.008509874343872,60,0,0
92.63.197.83,192.168.10.5,2022-08-16 23:54:37,1,3,4,0,8369,4,60.0,60.0,44,0,0.23656797409057617,0.0035390853881835938,44,0,1
220.220.248.1,192.168.10.5,2022-08-16 23:54:39,11,11,0,22,54872,2,49.56295704841614,1.0591158866882324,75,0,49.56475210189819,1.056976079940796,91,0,1
160.44.201.156,192.168.10.5,2022-08-16 23:54:39,98,93,191,0,42012,37,48.47546696662903,0.016132116317749023,6794,0,48.470826864242554,4.9114227294921875e-05,4136,0,1
201.230.120.135,192.168.10.5,2022-08-16 23:54:48,10,13,23,0,3389,23,59.34666705131531,0.007740020751953125,59,0,59.091318130493164,0.00028705596923828125,83,0,1
184.105.247.200,192.168.10.5,2022-08-16 23:54:50,0,1,0,1,5353,1,60.0,60.0,0,0,60.0,60.0,74,0,1
192.168.3.115,172.29.148.192,2022-08-16 23:54:52,0,12,12,0,55443,12,60.0,60.0,0,0,12.961318016052246,1.0197229385375977,60,0,0
185.173.35.33,192.168.10.5,2022-08-16 23:54:52,4,4,8,0,3000,8,1.3341050148010254,0.3115959167480469,44,0,1.3199188709259033,0.0002961158752441406,44,0,1
43.129.202.60,192.168.10.5,2022-08-16 23:55:01,15,12,27,0,22,27,0.9759249687194824,0.0004589557647705078,676,0,1.0774650573730469,0.0015110969543457031,492,0,1
103.114.104.92,192.168.10.5,2022-08-16 23:55:02,7,6,13,0,25,13,0.1456129550933838,0.09240198135375977,112,0,0.14596104621887207,0.0012161731719970703,52,0,1
89.248.165.52,192.168.10.5,2022-08-16 23:55:03,16,21,37,0,10030,37,1.2239329814910889,0.0002498626708984375,60,0,1.2383508682250977,9.5367431640625e-07,115,0,1
195.3.147.55,192.168.10.5,2022-08-16 23:55:05,32,28,60,0,22,60,0.30391812324523926,0.2545170783996582,888,0,0.2981679439544678,0.0015039443969726562,944,0,1
14.17.114.113,192.168.10.5,2022-08-16 23:55:09,6,1,7,0,3389,7,16.238965034484863,1.0210020542144775,52,0,60.0,60.0,52,0,1
163.123.143.249,192.168.10.5,2022-08-16 23:55:20,4,4,8,0,5911,8,1.2610530853271484,0.27603888511657715,52,0,1.2532000541687012,0.031243085861206055,52,0,1
192.168.3.116,172.29.148.192,2022-08-16 23:55:29,0,8,8,0,55443,8,60.0,60.0,0,0,12.791955947875977,1.0478100776672363,60,0,0
160.44.201.156,192.168.10.5,2022-08-16 23:55:39,424,383,807,0,43224,49,17.80749011039734,0.025655031204223633,11352,0,17.807060956954956,9.5367431640625e-07,4136,0,1
220.220.248.1,192.168.10.5,2022-08-16 23:55:39,39,39,0,78,47754,2,18.91434097290039,1.1151111125946045,75,0,18.912569999694824,1.0562999248504639,91,0,1
94.228.120.251,192.168.10.5,2022-08-16 23:55:45,11,8,19,0,5432,19,0.27480602264404297,0.0010509490966796875,103,0,0.27141809463500977,9.5367431640625e-07,93,0,1
201.230.120.135,192.168.10.5,2022-08-16 23:55:49,8,9,17,0,3389,17,59.213237047195435,4.601478576660156e-05,59,0,58.95552706718445,0.0002970695495605469,83,0,1
192.168.3.115,172.29.148.192,2022-08-16 23:55:52,0,8,8,0,55443,8,60.0,60.0,0,0,12.771263122558594,1.068526029586792,60,0,0
45.134.144.140,192.168.10.5,2022-08-16 23:55:52,4,5,9,0,10443,9,1.008552074432373,0.25391077995300293,60,0,1.2600750923156738,0.0003058910369873047,309,0,1
89.248.163.140,192.168.10.5,2022-08-16 23:55:53,1,3,4,0,4500,4,60.0,60.0,44,0,0.22936606407165527,0.03333783149719238,44,0,1
51.79.250.5,192.168.10.5,2022-08-16 23:56:13,3,4,7,0,3389,7,0.08785605430603027,0.05256795883178711,59,0,0.140916109085083,0.0009038448333740234,83,0,1
45.148.10.193,192.168.10.5,2022-08-16 23:56:16,1,2,3,0,443,3,60.0,60.0,44,0,0.23801898956298828,0.23801898956298828,44,0,1
1.247.0.228,192.168.10.5,2022-08-16 23:56:18,5,6,11,0,5555,11,0.9652121067047119,0.0018010139465332031,199,0,1.055738925933838,0.00030803680419921875,189,0,1
77.222.60.122,192.168.10.5,2022-08-16 23:56:21,3,5,8,0,23,8,46.10008502006531,0.28652191162109375,60,0,45.81130409240723,0.2844879627227783,60,0,1
43.129.202.60,192.168.10.5,2022-08-16 23:56:26,14,12,26,0,22,26,0.9740829467773438,0.0010480880737304688,676,0,1.076866865158081,0.0003139972686767578,492,0,1
212.192.246.198,192.168.10.5,2022-08-16 23:56:34,9,8,17,0,25,17,0.25359201431274414,0.24071502685546875,112,0,0.2540910243988037,0.0012068748474121094,52,0,1
160.44.201.156,192.168.10.5,2022-08-16 23:56:39,104,96,200,0,55676,26,48.43022799491882,0.001497030258178711,11752,0,48.43517088890076,9.5367431640625e-07,4136,0,1
220.220.248.1,192.168.10.5,2022-08-16 23:56:40,13,12,0,25,49595,3,49.50366401672363,1.1176531314849854,75,0,49.5046968460083,0.5612339973449707,113,0,1
92.204.145.11,192.168.10.5,2022-08-16 23:56:43,0,1,0,1,5060,1,60.0,60.0,0,0,60.0,60.0,444,0,1
190.228.131.235,192.168.10.5,2022-08-16 23:56:55,0,1,0,1,1027,1,60.0,60.0,0,0,60.0,60.0,50,0,1
92.255.85.195,192.168.10.5,2022-08-16 23:56:59,8,6,14,0,6161,14,1.0088310241699219,4.100799560546875e-05,52,0,1.3000118732452393,0.004785060882568359,84,0,1
14.17.114.113,192.168.10.5,2022-08-16 23:57:12,6,1,7,0,3389,7,16.239089012145996,1.026503086090088,52,0,60.0,60.0,52,0,1
159.203.69.233,192.168.10.5,2022-08-16 23:57:13,39,34,73,0,22,73,24.697286128997803,0.0012979507446289062,900,0,24.535648107528687,0.00029087066650390625,700,0,1
