ex_address,in_address,timestamp,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_interval,rcv_min_interval,rcv_max_length,rcv_min_length,snd_max_interval,snd_min_interval,snd_max_length,snd_min_length,label
94.228.120.251,192.168.10.5,2022-08-17 08:53:16,10,8,18,0,5432,18,0.276447057723999,0.27450084686279297,80,0,0.2749340534210205,9.5367431640625e-07,93,0,1
41.214.134.202,192.168.10.5,2022-08-17 08:53:19,0,1,0,1,1434,1,60.0,60.0,0,0,60.0,60.0,72,0,1
61.177.173.50,192.168.10.5,2022-08-17 08:53:21,11,11,22,0,22,22,0.4810340404510498,0.0002510547637939453,699,0,0.5239551067352295,0.00030684471130371094,908,0,1
92.255.85.30,192.168.10.5,2022-08-17 08:53:24,4,4,8,0,7007,8,1.0086209774017334,0.00010085105895996094,52,0,1.3012111186981201,0.0008969306945800781,87,0,1
14.17.114.113,192.168.10.5,2022-08-17 08:53:26,3,4,7,0,3389,7,0.2153010368347168,0.03380584716796875,59,0,0.2621269226074219,9.5367431640625e-07,83,0,1
167.248.133.144,192.168.10.5,2022-08-17 08:53:27,1,2,3,0,8848,3,60.0,60.0,44,0,0.16503500938415527,0.16503500938415527,44,0,1
167.248.133.47,192.168.10.5,2022-08-17 08:53:27,9,11,20,0,8848,20,1.1453030109405518,9.393692016601562e-05,60,0,1.1531391143798828,0.0002980232238769531,295,0,1
162.142.125.160,192.168.10.5,2022-08-17 08:53:32,1,2,3,0,8848,3,60.0,60.0,60,0,0.15460705757141113,0.15460705757141113,60,0,1
192.241.222.79,192.168.10.5,2022-08-17 08:53:44,6,1,7,0,443,7,16.239176988601685,1.0345478057861328,44,0,60.0,60.0,44,0,1
160.44.201.156,192.168.10.5,2022-08-17 08:53:49,420,352,772,0,33408,30,0.2907860279083252,4.696846008300781e-05,9241,0,0.29309511184692383,9.5367431640625e-07,4136,0,1
220.220.248.1,192.168.10.5,2022-08-17 08:53:49,40,39,0,79,55480,3,1.1590759754180908,1.0593008995056152,75,0,1.160027027130127,0.27968311309814453,116,0,1
185.7.214.117,192.168.10.5,2022-08-17 08:53:51,5,6,11,0,2375,11,1.0073199272155762,0.28190112113952637,60,0,1.2883789539337158,0.0002980232238769531,308,0,1
103.217.219.82,192.168.10.5,2022-08-17 08:53:54,14,12,26,0,22,26,0.9719281196594238,0.0007979869842529297,676,0,1.109999179840088,9.5367431640625e-07,492,0,1
195.123.222.163,192.168.10.5,2022-08-17 08:54:00,6,1,7,0,80,7,16.238817930221558,1.0360281467437744,60,0,60.0,60.0,64,0,1
149.56.206.192,192.168.10.5,2022-08-17 08:54:06,6,6,12,0,5900,12,0.1897289752960205,0.17292094230651855,68,0,0.18791484832763672,0.17277216911315918,68,0,1
185.165.190.34,192.168.10.5,2022-08-17 08:54:09,0,1,0,1,1434,1,60.0,60.0,0,0,60.0,60.0,29,0,1
202.39.239.24,192.168.10.5,2022-08-17 08:54:13,1,2,3,0,23,3,60.0,60.0,44,0,0.04822683334350586,0.04822683334350586,44,0,1
172.104.242.173,192.168.10.5,2022-08-17 08:54:36,3,3,6,0,4444,6,1.008626937866211,0.2636740207672119,44,0,1.2690629959106445,0.2642240524291992,46,0,1
