ex_address,in_address,timestamp,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_interval,rcv_min_interval,rcv_max_length,rcv_min_length,snd_max_interval,snd_min_interval,snd_max_length,snd_min_length,label
31.7.58.162,192.168.10.5,2022-08-11 00:50:41,7,9,16,0,5555,16,0.38698506355285645,0.0004990100860595703,199,0,45.38365197181702,0.0003228187561035156,188,0,1
36.91.119.221,192.168.10.5,2022-08-11 00:50:43,14,11,25,0,22,25,0.9787800312042236,0.0012059211730957031,676,0,1.2290749549865723,0.0009021759033203125,492,0,1
212.192.246.198,192.168.10.5,2022-08-11 00:50:51,9,7,16,0,25,16,0.25463390350341797,0.24022483825683594,112,0,0.2555980682373047,0.23861098289489746,52,0,1
123.160.221.13,192.168.10.5,2022-08-11 00:50:52,6,3,9,0,9418,9,16.23961901664734,1.0117790699005127,52,0,2.0421090126037598,1.2758359909057617,52,0,1
123.160.221.19,192.168.10.5,2022-08-11 00:50:53,12,13,25,0,9418,25,21.50188684463501,0.00011801719665527344,64,0,21.29886484146118,0.0002570152282714844,295,0,1
195.158.5.18,192.168.10.5,2022-08-11 00:50:56,6,6,12,0,5900,12,0.26095104217529297,0.25848889350891113,68,0,0.2600839138031006,0.25798511505126953,68,0,1
61.177.173.36,192.168.10.5,2022-08-11 00:51:01,17,12,29,0,22,29,1.3855321407318115,0.11621594429016113,699,0,2.868756055831909,0.0003159046173095703,908,0,1
104.156.155.2,192.168.10.5,2022-08-11 00:51:04,3,9,12,0,3549,4,10.150853157043457,1.512105941772461,44,0,10.033693075180054,0.002095937728881836,44,0,1
177.73.136.175,192.168.10.5,2022-08-11 00:51:08,14,12,26,0,22,26,0.9768080711364746,0.0010979175567626953,676,0,1.3288769721984863,0.00031495094299316406,492,0,1
152.89.196.25,192.168.10.5,2022-08-11 00:51:10,8,9,17,0,7133,9,57.23133301734924,9.703636169433594e-05,52,0,56.992331981658936,0.00024819374084472656,87,0,1
138.122.99.26,192.168.10.5,2022-08-11 00:51:20,4,4,8,0,3390,8,1.008587121963501,0.000247955322265625,52,0,1.218703031539917,0.00030112266540527344,83,0,1
220.220.248.1,192.168.10.5,2022-08-11 00:51:23,8,8,0,16,48960,2,24.45844793319702,1.16438889503479,75,0,24.45385718345642,1.1388401985168457,91,0,1
160.44.201.156,192.168.10.5,2022-08-11 00:51:23,79,73,152,0,45264,21,23.309037923812866,0.2828049659729004,2515,0,23.3036949634552,0.0002930164337158203,4136,0,1
45.227.254.20,192.168.10.5,2022-08-11 00:51:24,5,4,9,0,5900,9,0.2818489074707031,0.2789039611816406,52,0,0.28090691566467285,0.2800149917602539,52,0,1
80.66.88.108,192.168.10.5,2022-08-11 00:51:49,3,4,7,0,3389,7,0.27580809593200684,0.08621501922607422,59,0,0.3616161346435547,0.0005979537963867188,83,0,1
200.54.189.98,192.168.10.5,2022-08-11 00:51:51,7,7,14,0,5900,14,0.2794029712677002,0.2759101390838623,68,0,0.2797069549560547,0.2774081230163574,68,0,1
192.241.221.241,192.168.10.5,2022-08-11 00:51:52,5,4,9,0,18091,9,1.0087380409240723,0.12195611000061035,60,0,1.1307940483093262,9.5367431640625e-07,81,0,1
89.248.165.204,192.168.10.5,2022-08-11 00:52:00,1,3,4,0,33173,4,60.0,60.0,44,0,0.2269899845123291,0.007185935974121094,44,0,1
