ex_address,in_address,timestamp,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_interval,rcv_min_interval,rcv_max_length,rcv_min_length,snd_max_interval,snd_min_interval,snd_max_length,snd_min_length,label
85.208.253.66,192.168.10.5,2022-08-10 15:50:54,14,14,28,0,22,28,0.9733529090881348,0.0016040802001953125,676,0,1.3560421466827393,0.00026106834411621094,492,0,1
45.61.187.61,192.168.10.5,2022-08-10 15:50:56,7,9,16,0,5555,16,1.9316010475158691,0.0004990100860595703,199,0,45.63550901412964,0.0008978843688964844,472,0,1
65.108.129.14,192.168.10.5,2022-08-10 15:50:59,12,11,23,0,5900,23,0.2880370616912842,0.24500393867492676,56,0,0.28711509704589844,0.002722024917602539,56,0,1
20.24.79.220,192.168.10.5,2022-08-10 15:50:59,6,1,7,0,80,7,16.239619970321655,1.016772985458374,60,0,60.0,60.0,64,0,1
20.187.111.157,192.168.10.5,2022-08-10 15:51:00,6,1,7,0,80,7,16.239639043807983,1.026857852935791,60,0,60.0,60.0,64,0,1
220.220.248.1,192.168.10.5,2022-08-10 15:51:06,6,6,0,12,59747,2,22.39184308052063,13.004463911056519,75,0,22.427243947982788,1.2204909324645996,91,0,1
82.66.71.202,192.168.10.5,2022-08-10 15:51:06,16,16,32,0,22,32,2.4725449085235596,1.0888049602508545,676,0,2.1261110305786133,0.0008990764617919922,492,0,1
139.59.232.16,192.168.10.5,2022-08-10 15:51:07,14,14,28,0,22,28,0.9742441177368164,0.0008978843688964844,676,0,1.0903217792510986,0.0002980232238769531,492,0,1
20.247.116.251,192.168.10.5,2022-08-10 15:51:09,6,1,7,0,80,7,16.23969006538391,1.0285987854003906,60,0,60.0,60.0,64,0,1
139.59.251.146,192.168.10.5,2022-08-10 15:51:22,14,11,25,0,22,25,0.9720649719238281,0.0011479854583740234,676,0,1.0968608856201172,0.0008461475372314453,492,0,1
213.166.152.243,192.168.10.5,2022-08-10 15:51:25,268,285,553,0,445,553,3.01631498336792,0.33081603050231934,129,0,2.692038059234619,9.5367431640625e-07,150,0,1
182.34.73.120,192.168.10.5,2022-08-10 15:51:26,4,7,11,0,23,11,33.1331729888916,0.2373189926147461,60,0,32.886043071746826,0.19396400451660156,60,0,1
20.205.4.88,192.168.10.5,2022-08-10 15:51:28,6,1,7,0,80,7,16.2397301197052,1.0358679294586182,60,0,60.0,60.0,64,0,1
121.5.136.238,192.168.10.5,2022-08-10 15:51:30,3,2,5,0,6379,5,2.0298471450805664,1.0288538932800293,60,0,3.264664888381958,3.264664888381958,60,0,1
179.70.230.3,192.168.10.5,2022-08-10 15:51:34,15,11,26,0,22,26,0.9728388786315918,0.00020003318786621094,676,0,1.3118948936462402,0.0015070438385009766,492,0,1
142.93.58.181,192.168.10.5,2022-08-10 15:51:34,14,14,28,0,22,28,0.9831299781799316,0.0011970996856689453,676,0,1.190093994140625,9.5367431640625e-07,492,0,1
139.198.18.230,192.168.10.5,2022-08-10 15:51:39,14,14,28,0,22,28,1.6237430572509766,0.0008530616760253906,676,0,1.3640639781951904,0.0008409023284912109,492,0,1
160.44.201.156,192.168.10.5,2022-08-10 15:51:44,57,52,109,0,58658,27,21.334947109222412,0.2801539897918701,11352,0,21.366185903549194,9.5367431640625e-07,4136,0,1
159.65.181.179,192.168.10.5,2022-08-10 15:51:46,15,13,28,0,22,28,0.9721691608428955,0.0005478858947753906,676,0,1.1648118495941162,0.0002689361572265625,492,0,1
20.239.142.147,192.168.10.5,2022-08-10 15:51:48,6,1,7,0,80,7,16.23561406135559,1.0091328620910645,60,0,60.0,60.0,64,0,1
128.199.82.76,192.168.10.5,2022-08-10 15:51:49,15,12,27,0,22,27,0.9720480442047119,0.0004930496215820312,676,0,1.091507911682129,0.0015139579772949219,492,0,1
20.205.7.246,192.168.10.5,2022-08-10 15:51:58,6,1,7,0,80,7,16.239598989486694,1.024198055267334,60,0,60.0,60.0,64,0,1
20.24.73.124,192.168.10.5,2022-08-10 15:52:04,6,1,7,0,80,7,16.239651918411255,1.037142038345337,60,0,60.0,60.0,64,0,1
45.227.254.20,192.168.10.5,2022-08-10 15:52:08,6,6,12,0,5900,12,0.7920780181884766,0.27321505546569824,52,0,1.0647008419036865,0.0012099742889404297,52,0,1
20.205.34.17,192.168.10.5,2022-08-10 15:52:11,6,1,7,0,80,7,16.23970890045166,1.009032964706421,60,0,60.0,60.0,64,0,1
20.205.108.207,192.168.10.5,2022-08-10 15:52:14,6,1,7,0,80,7,16.23971199989319,1.0198049545288086,60,0,60.0,60.0,64,0,1
