ex_address,in_address,timestamp,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_interval,rcv_min_interval,rcv_max_length,rcv_min_length,snd_max_interval,snd_min_interval,snd_max_length,snd_min_length,label
193.37.69.205,192.168.10.5,2022-08-12 08:50:48,320,284,604,0,5900,604,0.5833830833435059,0.2773580551147461,56,0,0.7313740253448486,0.0002989768981933594,56,0,1
138.122.99.26,192.168.10.5,2022-08-12 08:50:49,4,3,7,0,3390,7,1.008730173110962,5.4836273193359375e-05,52,0,1.1832060813903809,0.17157506942749023,83,0,1
61.177.173.37,192.168.10.5,2022-08-12 08:50:50,1,1,2,0,22,2,60.0,60.0,52,0,60.0,60.0,40,0,1
80.82.77.33,192.168.10.5,2022-08-12 08:51:05,19,25,44,0,11300,44,3.498159170150757,0.004442930221557617,60,0,3.2318789958953857,0.0002980232238769531,307,0,1
209.58.188.174,192.168.10.5,2022-08-12 08:51:05,9,9,18,0,3389,18,20.068108081817627,0.032340049743652344,59,0,19.787386894226074,0.27400994300842285,83,0,1
220.220.248.1,192.168.10.5,2022-08-12 08:51:06,5,5,0,10,57603,2,42.3703830242157,1.2847731113433838,75,0,42.368326902389526,1.1829249858856201,164,0,1
52.20.78.240,192.168.10.5,2022-08-12 08:51:06,11,8,19,0,46960,19,0.18755483627319336,0.18235301971435547,569,0,0.19450783729553223,4.9114227294921875e-05,3588,0,1
206.189.233.163,192.168.10.5,2022-08-12 08:51:12,14,14,28,0,22,28,0.9749939441680908,0.0009491443634033203,676,0,1.1724858283996582,0.0005919933319091797,492,0,1
89.248.165.154,192.168.10.5,2022-08-12 08:51:14,1,2,3,0,8332,3,60.0,60.0,44,0,0.23318886756896973,0.23318886756896973,44,0,1
160.44.201.156,192.168.10.5,2022-08-12 08:51:19,45,41,86,0,47064,25,40.441656827926636,0.0003421306610107422,8524,0,40.450488805770874,9.5367431640625e-07,4136,0,1
23.224.189.27,192.168.10.5,2022-08-12 08:51:23,44,35,79,0,2121,79,1.0260038375854492,0.6795780658721924,60,0,1.7587499618530273,9.5367431640625e-07,235,0,1
162.142.125.91,192.168.10.5,2022-08-12 08:51:24,1,2,3,0,12540,3,60.0,60.0,44,0,0.13793396949768066,0.13793396949768066,44,0,1
162.142.125.220,192.168.10.5,2022-08-12 08:51:24,10,12,22,0,12540,22,1.1602940559387207,0.18642401695251465,60,0,1.1925129890441895,0.00034689903259277344,295,0,1
