daytime,accuracy,loss,training_time,benign_count,malicious_count,flow_num
2022-08-03 19:51:35,0.5122249126434326,0.7272274494171143,0.7186636924743652,14,804,818
2022-08-03 20:51:35,0.6897374987602234,0.6676338315010071,0.039051055908203125,12,826,838
2022-08-03 21:51:35,0.8610389828681946,0.6244101524353027,0.04116249084472656,12,758,770
2022-08-03 22:51:35,0.977159857749939,0.5386705994606018,0.0431056022644043,12,995,1007
2022-08-03 23:51:35,0.982367753982544,0.5216845273971558,0.043051958084106445,13,781,794
2022-08-04 00:51:35,0.9842519760131836,0.4716617166996002,0.04048490524291992,12,750,762
2022-08-04 01:51:35,0.9859319925308228,0.43290677666664124,0.04124927520751953,12,841,853
