address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
80.66.77.236,192.168.10.5,202305050159,2,1,3,0,34567,1,0.285363,0.285363,44,40,-10000,-10000,44,44,1
198.235.24.249,192.168.10.5,202305050159,2,1,3,0,10000,1,0.229162,0.229162,44,40,-10000,-10000,44,44,1
185.233.19.92,192.168.10.5,202305050159,2,1,3,0,51005,1,0.149856,0.149856,44,44,-10000,-10000,44,44,1
49.145.195.202,192.168.10.5,202305050159,8,4,12,0,5555,1,17.241232,0.0,310,40,17.310952,0.000442,199,44,1
192.241.223.20,192.168.10.5,202305050159,9,7,16,0,22,1,9.765875,4.7e-05,804,52,9.724685,0.003282,699,52,1
185.233.19.78,192.168.10.5,202305050159,27,24,51,0,51005,1,1.097152,0.0,295,52,1.097242,0.0,60,52,1
172.81.62.242,192.168.10.5,202305050159,6,5,11,0,5900,1,0.18974,0.034671,52,40,0.223195,0.001346,52,40,1
43.157.22.19,192.168.10.5,202305050159,14,13,27,0,22,1,1.253853,0.0,1028,52,0.967097,0.000939,699,52,1
52.232.7.75,192.168.10.5,202305050159,12,14,26,0,22,1,1.233532,0.000217,1028,52,0.965876,4.9e-05,699,52,1
162.244.77.140,192.168.10.5,202305050200,12,13,25,0,22,1,1.102574,0.000294,1028,52,0.968498,0.001143,699,52,1
198.235.24.186,192.168.10.5,202305050159,8,6,14,0,9092,1,55.914186,0.000297,377,40,56.144925,1e-06,60,44,1
198.235.24.249,192.168.10.5,202305050200,6,5,11,0,10000,1,1.448926,5.3e-05,259,52,1.724695,1e-06,60,52,1
159.89.161.0,192.168.10.5,202305050200,3,1,4,0,52220,1,0.118914,0.001141,44,40,-10000,-10000,44,44,1
137.184.13.100,192.168.10.5,202305050200,6,5,11,0,1153,1,3.518708,0.005002,125,52,3.687581,0.0,60,52,1
192.241.199.52,192.168.10.5,202305050159,6,11,17,0,8118,1,88.730494,0.000257,76,44,57.213992,0.0,60,44,1
194.55.224.52,192.168.10.5,202305050200,9,9,18,0,25,1,0.265173,0.0,52,40,0.257463,0.000369,112,40,1
43.157.22.19,192.168.10.5,202305050200,14,13,27,0,22,1,1.25445,0.0,1028,52,0.970522,0.001138,699,52,1
192.241.225.12,192.168.10.5,202305050201,1,1,2,0,992,1,-10000,-10000,44,44,-10000,-10000,40,40,1
103.162.36.21,192.168.10.5,202305050200,12,9,21,0,3389,1,39.19591,0.0,83,40,39.288115,0.018433,59,40,1
52.232.7.75,192.168.10.5,202305050201,12,14,26,0,22,1,1.233724,0.0,1028,52,0.968701,0.000346,699,52,1
62.233.50.217,192.168.10.5,202305050201,3,1,4,0,7899,1,0.268088,0.002126,44,40,-10000,-10000,44,44,1
106.12.83.25,192.168.10.5,202305050201,1,1,2,0,19,1,-10000,-10000,44,44,-10000,-10000,40,40,1
133.167.121.233,192.168.10.5,202305050201,5,3,8,0,3389,1,0.549326,0.007803,83,40,0.562482,0.005428,59,40,1
64.176.50.236,192.168.10.5,202305050201,4,3,7,0,3389,1,0.202627,0.0,83,40,0.12266,0.070392,59,40,1
159.89.161.0,192.168.10.5,202305050201,5,4,9,0,52220,1,1.121275,0.0,60,52,1.123649,0.0,60,52,1
162.216.149.212,192.168.10.5,202305050200,8,6,14,0,49751,1,50.461123,0.0,259,40,50.632147,0.0,60,44,1
62.204.41.80,192.168.10.5,202305050201,3,1,4,0,31110,1,0.2769,0.004774,44,40,-10000,-10000,44,44,1
223.13.59.7,192.168.10.5,202305050201,26,29,55,0,23,1,4.01413,0.0,125,40,2.01753,0.000475,1023,44,1
103.89.12.92,192.168.10.5,202305050201,6,4,10,0,49322,1,30.795756,0.0,44,40,1.189998,0.0,44,40,1
43.157.22.19,192.168.10.5,202305050202,14,14,28,0,22,1,1.254807,0.0,1028,52,0.968162,4.9e-05,699,52,1
137.184.13.100,192.168.10.5,202305050202,12,10,22,0,9998,1,2.404894,0.001836,60,52,2.565584,0.0,60,52,1
