address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
43.143.3.213,192.168.10.5,202304270058,4,4,8,0,3389,1,1.187677,0.0,83,40,1.01246,0.064544,59,40,1
113.142.66.88,192.168.10.5,202304270058,6,6,12,0,5900,1,0.547233,0.0,64,52,0.547232,0.001448,64,52,1
159.53.116.62,192.168.10.5,202304270058,1,1,2,0,30852,1,-10000,-10000,40,40,-10000,-10000,40,40,1
162.216.149.155,192.168.10.5,202304270059,4,4,8,0,42589,1,1.256264,0.0,44,44,1.281997,0.0,44,40,1
192.168.3.117,172.29.148.192,202304270057,20,0,20,0,55443,1,12.839915,1.022417,60,60,-10000,-10000,-10000,-10000,0
198.235.24.181,192.168.10.5,202304270059,4,4,8,0,2001,1,1.26818,1e-06,44,44,1.455964,0.0,44,40,1
167.94.138.101,192.168.10.5,202304270059,2,1,3,0,993,1,0.193963,0.193963,44,40,-10000,-10000,44,44,1
167.94.138.124,192.168.10.5,202304270059,9,6,15,0,993,1,0.205272,0.000469,295,52,0.211189,0.000607,1410,52,1
162.142.125.160,192.168.10.5,202304270059,2,1,3,0,993,1,0.155855,0.155855,60,40,-10000,-10000,60,60,1
218.7.182.12,192.168.10.5,202304270059,6,5,11,0,22,1,0.078499,1e-06,72,52,0.0765,0.001649,676,52,1
84.17.46.207,192.168.10.5,202304270059,12,9,21,0,3389,1,8.368423,0.0,83,40,8.760181,0.041804,59,40,1
185.233.19.92,192.168.10.5,202304270059,2,1,3,0,3128,1,0.087621,0.087621,44,44,-10000,-10000,44,44,1
107.155.48.224,192.168.10.5,202304270059,23,19,42,0,2082,1,1.787525,0.004837,322,52,1.788428,0.0,60,52,1
35.203.211.110,192.168.10.5,202304270059,8,6,14,0,7285,1,52.070973,0.000896,259,40,52.299403,0.0,60,44,1
182.71.6.166,192.168.10.5,202304270100,4,3,7,0,3389,1,0.206217,0.0,83,40,0.16884,0.036848,59,40,1
35.203.211.172,192.168.10.5,202304270059,8,6,14,0,30452,1,50.898702,6.3e-05,378,40,51.119832,0.0,60,44,1
162.216.150.181,192.168.10.5,202304270059,8,6,14,0,9301,1,48.151877,0.000297,377,40,48.319572,0.0,60,44,1
74.82.47.27,192.168.10.5,202304270100,2,1,3,0,4899,1,0.122513,0.122513,44,40,-10000,-10000,44,44,1
162.216.149.208,192.168.10.5,202304270059,8,6,14,0,10123,1,52.516656,0.0,378,40,52.686769,0.0,60,44,1
165.227.188.42,192.168.10.5,202304270100,30,26,56,0,7443,1,7.477725,0.0,311,52,7.477624,0.0,60,52,1
45.81.243.110,192.168.10.5,202304270100,8,9,17,0,25,1,0.253775,0.001261,52,40,0.253437,0.000455,112,40,1
159.89.161.0,192.168.10.5,202304270100,3,1,4,0,10622,1,0.122731,0.003262,44,40,-10000,-10000,44,44,1
119.23.67.0,192.168.10.5,202304270100,6,5,11,0,5900,1,0.276429,0.019901,64,52,0.303961,0.001148,64,52,1
84.17.46.207,192.168.10.5,202304270100,12,9,21,0,3389,1,8.947631,0.00064,83,40,9.335582,0.027808,59,40,1
188.130.52.9,192.168.10.5,202304270101,4,3,7,0,3389,1,0.301864,0.000647,83,40,0.244641,0.054452,59,40,1
159.89.162.153,192.168.10.5,202304270101,2,1,3,0,7145,1,0.11283,0.11283,44,40,-10000,-10000,44,44,1
110.52.27.29,192.168.10.5,202304270101,6,5,11,0,22,1,0.072368,1e-06,72,52,0.072322,0.002145,676,52,1
74.82.47.3,192.168.10.5,202304270101,5,5,10,0,4899,1,1.121288,0.042894,50,40,1.00854,0.0,86,40,1
