address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
89.248.165.14,192.168.10.5,202304181158,16,15,31,0,32220,1,1.257277,0.0,111,52,1.008501,0.0,60,52,1
113.203.240.39,192.168.10.5,202304181159,4,3,7,0,3389,1,0.380953,0.001238,83,40,0.324274,0.055262,59,40,1
193.163.125.110,192.168.10.5,202304181159,2,1,3,0,9002,1,0.256999,0.256999,44,40,-10000,-10000,44,44,1
31.42.176.44,192.168.10.5,202304181159,1,0,0,1,53,1,-10000,-10000,68,68,-10000,-10000,-10000,-10000,1
205.210.31.172,192.168.10.5,202304181159,1,1,2,0,888,1,-10000,-10000,44,44,-10000,-10000,40,40,1
94.102.61.41,192.168.10.5,202304181157,7,11,18,0,3056,1,90.579566,1e-06,259,44,58.867344,0.0,60,44,1
106.54.181.82,192.168.10.5,202304181159,5,5,10,0,5900,1,0.22237,0.0,64,52,0.22296,0.000515,64,52,1
124.222.117.173,192.168.10.5,202304181159,5,5,10,0,5900,1,0.213301,0.0,64,52,0.214101,0.000807,64,52,1
114.215.179.136,192.168.10.5,202304181159,6,7,13,0,5900,1,1.000642,1e-06,64,52,1.000641,0.001073,64,52,1
106.14.107.14,192.168.10.5,202304181159,6,7,13,0,5900,1,0.876996,0.0,64,52,0.662426,0.001544,64,52,1
150.158.34.228,192.168.10.5,202304181200,5,5,10,0,5900,1,0.20345,0.0,64,52,0.202922,0.001257,64,52,1
150.158.50.247,192.168.10.5,202304181200,5,5,10,0,5900,1,0.177518,0.0,64,52,0.176828,0.000751,64,52,1
103.228.152.112,192.168.10.5,202304181200,4,3,7,0,3389,1,0.289592,0.003528,83,40,0.242991,0.049093,59,40,1
64.112.75.18,192.168.10.5,202304181200,1,0,0,1,5060,1,-10000,-10000,438,438,-10000,-10000,-10000,-10000,1
213.226.123.61,192.168.10.5,202304181200,3,1,4,0,1122,1,0.268724,0.003508,44,40,-10000,-10000,44,44,1
41.223.230.66,192.168.10.5,202304181200,4,3,7,0,3389,1,0.417326,0.0,83,40,0.392125,0.022107,59,40,1
113.203.240.39,192.168.10.5,202304181200,4,3,7,0,3389,1,0.354511,0.002972,83,40,0.261515,0.095075,59,40,1
62.233.50.217,192.168.10.5,202304181201,3,1,4,0,3718,1,0.578773,0.003303,44,40,-10000,-10000,44,44,1
87.236.176.12,192.168.10.5,202304181201,5,5,10,0,6112,1,1.26428,0.0,60,52,1.270013,0.0,60,40,1
78.128.114.14,192.168.10.5,202304181201,11,5,16,0,80,1,0.503142,0.0,207,52,0.80167,1e-06,10452,52,1
87.236.176.25,192.168.10.5,202304181201,4,4,8,0,6112,1,1.25799,0.000889,60,52,1.25788,0.0,60,52,1
192.241.222.21,192.168.10.5,202304181201,1,6,7,0,8998,1,-10000,-10000,44,44,16.23963,1.037978,44,44,1
103.228.152.112,192.168.10.5,202304181201,4,3,7,0,3389,1,0.294452,1e-06,83,40,0.256102,0.039378,59,40,1
87.236.176.4,192.168.10.5,202304181201,5,5,10,0,6112,1,1.259209,0.0,624,52,1.259244,0.0,60,40,1
