address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
107.170.245.19,192.168.10.5,202306121959,5,5,10,0,8834,1,1.129452,0.0,76,52,1.00854,1e-06,60,52,1
124.221.178.222,192.168.10.5,202306121959,5,5,10,0,5900,1,0.175179,1e-06,64,52,0.175671,0.001267,64,52,1
106.53.74.140,192.168.10.5,202306121959,5,5,10,0,5900,1,0.208482,0.0,64,52,0.207038,0.001329,64,52,1
205.185.115.70,192.168.10.5,202306121959,8,8,16,0,8080,1,0.815642,0.0,147,40,0.621059,0.0,64,44,1
88.214.26.9,192.168.10.5,202306121959,9,11,20,0,5432,1,0.267822,0.0,149,52,0.269529,4.7e-05,103,52,1
194.26.29.86,192.168.10.5,202306121959,3,1,4,0,7007,1,0.298764,0.005699,44,40,-10000,-10000,44,44,1
167.71.243.143,192.168.10.5,202306121959,2,1,3,0,2345,1,0.170018,0.170018,44,40,-10000,-10000,44,44,1
185.190.24.15,192.168.10.5,202306121959,4,4,8,0,20125,1,1.277376,0.001487,87,40,1.008608,0.0,52,40,1
194.26.29.152,192.168.10.5,202306121959,3,1,4,0,34501,1,0.298805,0.040231,44,40,-10000,-10000,44,44,1
194.26.29.37,192.168.10.5,202306121959,3,1,4,0,3811,1,0.29019,0.03692,44,40,-10000,-10000,44,44,1
36.133.197.188,192.168.10.5,202306121959,5,5,10,0,5900,1,0.099217,1e-06,64,52,0.100974,0.001163,64,52,1
192.241.193.77,192.168.10.5,202306121959,11,8,19,0,443,1,0.475477,0.000237,204,52,0.594543,0.000246,1387,40,1
87.236.176.30,192.168.10.5,202306122000,4,4,8,0,2095,1,1.258252,0.000679,60,52,1.257535,0.0,60,52,1
185.190.24.101,192.168.10.5,202306122000,5,4,9,0,20828,1,1.278638,0.0,87,40,1.0092,0.0,52,40,1
182.70.252.132,192.168.10.5,202306122000,4,3,7,0,3389,1,0.201313,1e-06,83,40,0.135848,0.065458,59,40,1
179.43.163.132,192.168.10.5,202306122000,6,5,11,0,4719,1,1.280011,1e-06,60,40,1.277511,0.0,60,44,1
167.94.138.131,192.168.10.5,202306122000,2,1,3,0,3580,1,0.204618,0.204618,44,40,-10000,-10000,44,44,1
90.120.187.31,192.168.10.5,202306122000,4,3,7,0,3389,1,0.284885,0.002172,83,40,0.246434,0.039848,59,40,1
213.6.19.85,192.168.10.5,202306122000,4,3,7,0,3389,1,0.336008,3.8e-05,83,40,0.300402,0.032166,59,40,1
167.94.138.124,192.168.10.5,202306122000,14,9,23,0,3580,1,1.205558,0.000317,295,40,1.196581,0.0,60,52,1
162.142.125.160,192.168.10.5,202306122000,2,1,3,0,3580,1,0.156089,0.156089,60,40,-10000,-10000,60,60,1
51.15.11.91,192.168.10.5,202306121959,100,0,0,100,11211,1,25.055266,0.008328,44,44,-10000,-10000,-10000,-10000,1
