address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
43.130.11.228,192.168.10.5,202306160359,17,13,30,0,12527,1,10.001401,0.0,295,40,10.117553,0.0,60,52,1
114.55.36.65,192.168.10.5,202306160359,5,1,6,0,8090,1,0.180471,0.0,44,40,-10000,-10000,44,44,1
79.124.62.78,192.168.10.5,202306160359,3,1,4,0,3402,1,0.288034,0.002091,44,40,-10000,-10000,44,44,1
91.240.118.221,192.168.10.5,202306160359,3,1,4,0,3634,1,0.275592,0.006197,44,40,-10000,-10000,44,44,1
185.224.128.213,192.168.10.5,202306160359,1,0,1,0,80,1,-10000,-10000,89,89,-10000,-10000,-10000,-10000,1
213.226.123.61,192.168.10.5,202306160359,3,1,4,0,2662,1,0.280607,0.004769,44,40,-10000,-10000,44,44,1
45.128.232.71,192.168.10.5,202306160359,1,0,0,1,389,1,-10000,-10000,80,80,-10000,-10000,-10000,-10000,1
162.142.125.85,192.168.10.5,202306160359,2,1,3,0,18090,1,0.150735,0.150735,44,40,-10000,-10000,44,44,1
198.235.24.120,192.168.10.5,202306160359,8,6,14,0,1250,1,42.123126,0.0,380,40,42.170238,0.0,60,44,1
162.142.125.13,192.168.10.5,202306160359,17,13,30,0,18090,1,1.151589,0.000901,295,40,1.163861,0.0,60,40,1
162.142.125.160,192.168.10.5,202306160359,2,1,3,0,18090,1,0.141477,0.141477,60,40,-10000,-10000,60,60,1
80.82.77.139,192.168.10.5,202306160400,14,11,25,0,1024,1,2.973244,0.000309,306,40,3.258495,0.0,60,44,1
216.218.206.110,192.168.10.5,202306160400,1,0,0,1,34980,1,-10000,-10000,74,74,-10000,-10000,-10000,-10000,1
89.248.163.189,192.168.10.5,202306160400,3,1,4,0,3383,1,0.242476,0.002365,44,40,-10000,-10000,44,44,1
80.94.95.249,192.168.10.5,202306160400,6,4,10,0,3930,1,30.715489,0.0,44,40,1.277565,1e-06,44,40,1
