address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
27.41.57.187,192.168.10.5,202304190758,1,6,7,0,23,1,-10000,-10000,44,44,16.239126,1.011372,44,44,1
162.243.136.24,192.168.10.5,202304190759,6,5,11,0,8080,1,1.127536,1e-06,165,52,1.008089,0.0,60,52,1
182.61.47.229,192.168.10.5,202304190759,5,7,12,0,5900,1,0.84646,0.001455,64,52,0.640398,0.001099,64,52,1
113.203.240.39,192.168.10.5,202304190759,4,3,7,0,3389,1,0.340873,0.0,83,40,0.281949,0.075956,59,40,1
41.223.230.66,192.168.10.5,202304190759,4,3,7,0,3389,1,0.448048,1e-06,83,40,0.393172,0.073896,59,40,1
64.227.150.177,192.168.10.5,202304190744,192,220,412,0,22,1,59.743012,0.0,1124,52,59.871653,4.7e-05,699,52,1
157.230.56.253,192.168.10.5,202304190759,4,4,8,0,30012,1,1.165067,0.0,60,52,1.156915,1e-06,60,52,1
107.189.13.73,192.168.10.5,202304190759,2,1,3,0,443,1,0.259687,0.259687,44,40,-10000,-10000,44,44,1
94.102.61.3,192.168.10.5,202304190758,7,11,18,0,9242,1,90.079733,0.0,259,44,58.459588,0.0,60,44,1
45.81.243.11,192.168.10.5,202304190800,8,9,17,0,25,1,0.310679,1e-06,52,40,0.310397,0.0004,112,40,1
223.15.55.189,192.168.10.5,202304190800,2,1,3,0,23,1,0.223461,0.223461,44,40,-10000,-10000,44,44,1
108.167.178.116,192.168.10.5,202304190800,4,4,8,0,29011,1,1.185712,0.014005,44,40,1.18188,1e-06,44,40,1
182.71.6.166,192.168.10.5,202304190759,20,15,35,0,3389,1,30.466173,0.0,83,40,30.648943,0.031342,59,40,1
218.58.139.231,192.168.10.5,202304190800,5,5,10,0,5900,1,0.086911,1e-06,64,52,0.087463,0.000596,64,52,1
192.81.246.34,192.168.10.5,202304190759,3,18,21,0,80,2,2.955287,2.145923,52,52,11.083812,0.084992,52,52,1
168.70.110.130,192.168.10.5,202304190800,7,4,11,0,23,1,30.771961,0.030095,60,40,30.865711,0.093737,60,44,1
205.210.31.206,192.168.10.5,202304190800,4,4,8,0,8080,1,1.341199,0.000261,44,44,1.387697,0.0,44,40,1
220.174.25.172,192.168.10.5,202304190800,72,74,146,0,22,1,1.655595,0.0,852,52,1.89715,0.0,699,52,1
113.203.240.39,192.168.10.5,202304190800,4,3,7,0,3389,1,0.329005,0.000956,83,40,0.259362,0.069706,59,40,1
193.163.125.116,192.168.10.5,202304190801,2,1,3,0,22000,1,0.244847,0.244847,44,40,-10000,-10000,44,44,1
122.114.15.135,192.168.10.5,202304190801,5,5,10,0,5900,1,0.106417,1e-06,64,52,0.10552,0.000859,64,52,1
161.35.96.50,192.168.10.5,202304190801,2,1,3,0,4241,1,0.159049,0.159049,44,40,-10000,-10000,44,44,1
213.226.123.61,192.168.10.5,202304190801,3,1,4,0,1102,1,0.293737,0.004538,44,40,-10000,-10000,44,44,1
212.83.144.11,192.168.10.5,202304190801,4,4,8,0,37822,1,1.260828,1e-06,44,40,1.275384,0.0,44,40,1
157.245.222.108,192.168.10.5,202304190801,11,9,20,0,9092,1,1.684919,0.006093,82,52,1.684919,0.0,60,52,1
194.110.203.122,192.168.10.5,202304190801,20,20,40,0,22,1,3.001229,0.000569,796,52,3.268252,0.000842,900,52,1
162.142.125.245,192.168.10.5,202304190801,2,1,3,0,18152,1,0.158829,0.158829,44,40,-10000,-10000,44,44,1
162.142.125.225,192.168.10.5,202304190801,14,9,23,0,18152,1,1.16088,0.0,295,40,1.148352,0.0,60,52,1
139.59.17.57,192.168.10.5,202304190801,12,11,23,0,22,1,1.148053,0.0,1012,52,0.973483,0.000998,699,52,1
139.162.190.203,192.168.10.5,202304190801,6,4,10,0,6106,1,31.113091,0.000658,44,40,1.264176,4.8e-05,44,40,1
159.89.124.112,192.168.10.5,202304190801,12,10,22,0,8888,1,12.723542,0.000321,303,52,12.922081,0.0,60,52,1
41.223.230.66,192.168.10.5,202304190801,8,6,14,0,3389,1,5.257604,0.000681,83,40,5.652874,0.050768,59,40,1
120.55.64.33,192.168.10.5,202304190802,5,6,11,0,5900,1,0.73853,0.0,64,52,0.564366,0.000544,64,52,1
162.142.125.82,192.168.10.5,202304190802,2,1,3,0,12582,1,0.141593,0.141593,44,40,-10000,-10000,44,44,1
162.142.125.217,192.168.10.5,202304190802,14,10,24,0,12582,1,1.157744,0.0,295,40,1.157887,9.5e-05,60,40,1
139.59.94.74,192.168.10.5,202304190801,7,5,12,0,6222,1,38.811081,0.0,60,40,38.936763,0.0,60,44,1
185.94.111.1,192.168.10.5,202304190801,1,6,7,0,13331,1,-10000,-10000,44,44,16.239112,1.011078,44,44,1
194.26.29.152,192.168.10.5,202304190802,3,1,4,0,5563,1,0.286607,0.046423,44,40,-10000,-10000,44,44,1
113.203.240.39,192.168.10.5,202304190802,4,3,7,0,3389,1,0.337046,0.0,83,40,0.281178,0.053029,59,40,1
167.248.133.153,192.168.10.5,202304190802,2,1,3,0,9063,1,0.148345,0.148345,44,40,-10000,-10000,44,44,1
162.142.125.160,192.168.10.5,202304190801,6,3,9,0,18152,3,31.125235,0.136724,60,40,31.261916,30.15792,60,60,1
167.248.133.36,192.168.10.5,202304190802,14,9,23,0,9063,1,1.154575,0.0,295,40,1.145446,0.0,60,52,1
198.235.24.207,192.168.10.5,202304190802,4,4,8,0,5902,1,1.324604,0.000176,44,44,1.278348,1e-06,44,40,1
210.245.120.117,192.168.10.5,202304190802,3,1,4,0,9999,1,0.124495,0.002264,44,40,-10000,-10000,44,44,1
194.55.224.228,192.168.10.5,202304190803,7,8,15,0,25,1,0.257686,0.001205,52,40,0.257624,0.000202,112,40,1
159.223.155.207,192.168.10.5,202304190803,12,11,23,0,22,1,1.171967,0.0,1012,52,0.971938,0.001508,699,52,1
41.214.134.201,192.168.10.5,202304190803,1,0,0,1,30301,1,-10000,-10000,83,83,-10000,-10000,-10000,-10000,1
34.100.144.72,192.168.10.5,202304190803,12,14,26,0,22,1,1.149293,0.000232,1028,52,0.970398,0.0,699,52,1
182.71.6.166,192.168.10.5,202304190803,20,15,35,0,3389,1,26.89374,1e-06,83,40,27.059336,0.027195,59,40,1
213.32.25.76,192.168.10.5,202304190803,7,5,12,0,25,1,10.056645,0.063531,70,52,10.314575,0.063397,147,52,1
41.223.230.66,192.168.10.5,202304190804,6,5,11,0,3389,1,0.400303,0.0,83,40,0.400304,1e-06,59,40,1
146.88.241.160,192.168.10.5,202304190804,1,0,0,1,7787,1,-10000,-10000,37,37,-10000,-10000,-10000,-10000,1
185.233.19.92,192.168.10.5,202304190804,2,1,3,0,8081,1,0.081494,0.081494,44,44,-10000,-10000,44,44,1
