address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
185.73.126.93,192.168.10.5,202208141659,3,1,4,0,3391,1,0.227332,0.023511,44,40,-10000,-10000,44,44,1
167.94.138.145,192.168.10.5,202208141659,2,1,3,0,10038,1,0.197495,0.197495,44,40,-10000,-10000,44,44,1
162.142.125.160,192.168.10.5,202208141658,6,3,9,0,16059,3,25.153843,0.145369,60,40,25.299462,19.666291,60,60,1
167.94.138.46,192.168.10.5,202208141659,14,10,24,0,10038,1,1.215098,0.0,295,40,1.198571,9.3e-05,60,40,1
45.148.10.81,192.168.10.5,202208141659,1,0,1,0,80,1,-10000,-10000,44,44,-10000,-10000,-10000,-10000,1
194.26.29.37,192.168.10.5,202208141659,3,1,4,0,24121,1,0.277343,0.009236,44,40,-10000,-10000,44,44,1
79.214.153.121,192.168.10.5,202208141658,1,6,7,0,80,1,-10000,-10000,64,64,16.23944,1.013913,60,60,1
184.105.247.252,192.168.10.5,202208141659,5,5,10,0,5094,1,1.126073,0.000805,53,40,1.008367,0.0,48,40,1
51.195.228.194,192.168.10.5,202208141659,5,4,9,0,3389,1,0.315137,0.012528,59,40,0.298278,0.017212,59,40,1
138.122.99.26,192.168.10.5,202208141659,5,4,9,0,3390,1,1.212149,0.0,83,40,1.008272,0.0001,52,40,1
221.2.163.231,192.168.10.5,202208141700,5,6,11,0,2083,1,1.159427,0.253791,159,52,1.007878,9.6e-05,60,52,1
47.250.36.147,192.168.10.5,202208141659,2,12,14,0,80,1,7.304,7.304,64,64,8.764107,0.193434,60,60,1
185.150.24.69,192.168.10.5,202208141659,5,30,35,0,80,1,4.799307,2.522527,64,64,4.639861,0.064501,60,60,1
193.163.125.239,192.168.10.5,202208141659,1,6,7,0,42742,1,-10000,-10000,44,44,16.239498,1.008668,44,44,1
103.157.27.220,192.168.10.5,202208141659,2,12,14,0,80,1,33.937789,33.937789,64,64,16.243495,1.01071,60,60,1
192.241.221.138,192.168.10.5,202208141700,5,5,10,0,3351,1,1.126584,0.000297,80,52,1.008726,0.0,60,52,1
167.94.138.96,192.168.10.5,202208141700,2,1,3,0,49152,1,0.195135,0.195135,44,40,-10000,-10000,44,44,1
167.94.138.117,192.168.10.5,202208141700,16,11,27,0,49152,1,1.213336,1e-06,295,40,1.2086,0.0,60,52,1
162.142.125.160,192.168.10.5,202208141700,2,1,3,0,49152,1,0.152202,0.152202,60,40,-10000,-10000,60,60,1
184.162.240.237,192.168.10.5,202208141700,5,5,10,0,3391,1,1.191016,0.000861,93,40,1.00743,1e-06,52,40,1
137.184.49.47,192.168.10.5,202208141700,6,4,10,0,15014,1,30.815048,0.0,44,40,1.176006,0.000112,44,40,1
84.108.40.215,192.168.10.5,202208141700,16,15,31,0,22,1,6.213764,0.003291,492,52,6.575381,0.001148,676,52,1
199.195.248.205,192.168.10.5,202208141700,2,1,3,0,21,1,0.19397,0.19397,44,40,-10000,-10000,44,44,1
45.95.55.56,192.168.10.5,202208141700,1,6,7,0,80,1,-10000,-10000,64,64,16.239462,1.023417,60,60,1
185.225.73.142,192.168.10.5,202208141700,9,6,15,0,2205,2,68.505632,0.0,60,40,68.74864,0.0,60,48,1
59.92.167.212,192.168.10.5,202208141701,5,4,9,0,8080,1,2.203539,0.036634,116,52,2.513237,4.2e-05,60,40,1
46.101.56.170,192.168.10.5,202208141701,6,4,10,0,6204,1,30.735532,0.0,44,40,1.250735,5.5e-05,44,40,1
79.214.153.121,192.168.10.5,202208141701,1,6,7,0,80,1,-10000,-10000,64,64,16.239265,1.03502,60,60,1
51.38.75.3,192.168.10.5,202208141702,4,3,7,0,3389,1,0.300608,0.000859,83,40,0.241156,0.05426,59,40,1
212.192.246.198,192.168.10.5,202208141702,8,9,17,0,25,1,0.266608,0.001158,52,40,0.266026,0.000598,112,40,1
45.143.200.118,192.168.10.5,202208141702,5,4,9,0,4149,1,1.297622,0.0,87,40,1.008233,0.000142,52,40,1
185.225.73.142,192.168.10.5,202208141702,5,4,9,0,2206,1,1.25233,0.0,60,52,1.249975,0.000147,60,52,1
185.142.236.36,192.168.10.5,202208141702,1,0,0,1,11211,1,-10000,-10000,43,43,-10000,-10000,-10000,-10000,1
120.48.0.116,192.168.10.5,202208141702,5,4,9,0,6379,1,0.25498,0.0,66,52,0.255188,0.0,60,52,1
47.250.36.147,192.168.10.5,202208141702,2,12,14,0,80,1,7.681724,7.681724,64,64,8.506384,0.483231,60,60,1
167.94.138.111,192.168.10.5,202208141702,1,0,0,1,53,1,-10000,-10000,73,73,-10000,-10000,-10000,-10000,1
94.228.120.251,192.168.10.5,202208141702,9,11,20,0,5432,1,0.283296,0.0,93,52,0.285639,0.0,103,52,1
185.150.24.69,192.168.10.5,202208141702,5,30,35,0,80,1,4.873194,2.480849,64,64,4.897654,0.066996,60,60,1
103.157.27.220,192.168.10.5,202208141702,2,12,14,0,80,1,33.717734,33.717734,64,64,16.239422,1.01556,60,60,1
167.94.138.145,192.168.10.5,202208141703,2,1,3,0,12493,1,0.193937,0.193937,44,40,-10000,-10000,44,44,1
167.94.138.62,192.168.10.5,202208141703,14,10,24,0,12493,1,1.19992,0.0,295,40,1.206944,0.0,60,40,1
162.142.125.160,192.168.10.5,202208141703,2,1,3,0,12493,1,0.158214,0.158214,60,40,-10000,-10000,60,60,1
61.164.49.126,192.168.10.5,202208141703,7,8,15,0,5900,1,1.796299,0.0,68,52,0.96658,0.0004,68,52,1
91.240.118.222,192.168.10.5,202208141703,4,2,6,0,23,1,2.589277,0.278499,52,40,0.281081,0.281081,52,47,1
92.255.85.195,192.168.10.5,202208141703,10,8,18,0,8812,1,1.308645,0.0,84,40,1.008667,5.9e-05,52,40,1
74.116.0.114,192.168.10.5,202208141703,1,0,0,1,5060,1,-10000,-10000,1493,1493,-10000,-10000,-10000,-10000,1
192.186.12.25,192.168.10.5,202208141703,1,0,0,1,11211,1,-10000,-10000,95,95,-10000,-10000,-10000,-10000,1
149.56.206.192,192.168.10.5,202208141703,7,6,13,0,5900,1,0.189446,0.0,68,52,0.189045,0.000399,68,52,1
