address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
118.27.109.13,192.168.10.5,202208152344,266,279,545,0,22,1,50.362365,0.0,492,40,50.369917,5e-05,676,52,1
185.180.143.38,192.168.10.5,202208152359,1,1,2,0,111,1,-10000,-10000,44,44,-10000,-10000,40,40,1
185.156.73.91,192.168.10.5,202208152359,3,1,4,0,62689,1,0.228184,0.005993,44,40,-10000,-10000,44,44,1
149.56.206.192,192.168.10.5,202208152359,7,6,13,0,5900,1,0.167735,0.0,68,52,0.168377,0.000251,68,52,1
212.192.246.198,192.168.10.5,202208152359,8,9,17,0,25,1,0.257041,0.001498,52,40,0.25664,0.000449,112,40,1
124.223.219.7,192.168.10.5,202208152358,1,6,7,0,2376,1,-10000,-10000,44,44,16.239564,1.019951,44,44,1
61.177.173.37,192.168.10.5,202208152359,5,2,7,0,22,1,0.399179,0.0,908,52,0.20193,0.20193,75,60,1
67.216.107.248,192.168.10.5,202208152359,2,1,3,0,5005,1,0.168933,0.168933,44,40,-10000,-10000,44,44,1
92.255.85.195,192.168.10.5,202208152358,20,16,36,0,49000,2,48.378399,0.0,84,40,48.679457,0.0,52,40,1
61.177.173.53,192.168.10.5,202208152359,13,11,24,0,22,1,0.227592,0.000847,908,52,0.274317,0.0,699,52,1
94.228.120.251,192.168.10.5,202208152359,10,11,21,0,5432,1,0.277934,0.0,93,52,0.281552,0.0,103,52,1
138.122.99.26,192.168.10.5,202208152359,5,4,9,0,3390,1,1.190393,0.0,83,40,1.008582,9.8e-05,52,40,1
185.156.73.57,192.168.10.5,202208152359,3,1,4,0,64122,1,0.23417,0.025011,44,40,-10000,-10000,44,44,1
167.94.145.94,192.168.10.5,202208152359,2,1,3,0,40000,1,0.277054,0.277054,44,40,-10000,-10000,44,44,1
167.94.145.58,192.168.10.5,202208152359,14,9,23,0,40000,1,1.255024,0.0,295,40,1.283358,0.0,60,52,1
51.38.75.3,192.168.10.5,202208152359,4,3,7,0,3389,1,0.284495,0.0015,83,40,0.256038,0.026813,59,40,1
43.129.39.176,192.168.10.5,202208152359,1,6,7,0,2443,1,-10000,-10000,52,52,16.239567,1.038919,52,52,1
192.241.220.158,192.168.10.5,202208152359,1,6,7,0,8040,1,-10000,-10000,44,44,16.239532,1.024644,44,44,1
220.117.232.74,192.168.10.5,202208160000,12,15,27,0,22,1,1.065893,0.0,492,52,0.97748,0.000648,676,52,1
51.79.250.5,192.168.10.5,202208160000,4,3,7,0,3389,1,0.119514,0.000858,83,40,0.083968,0.035335,59,40,1
210.96.101.13,192.168.10.5,202208152359,30,27,57,0,23,1,30.392528,0.0,52,40,30.510229,0.000346,356,40,1
14.17.114.113,192.168.10.5,202208160000,4,3,7,0,3389,1,0.289838,0.000889,83,40,0.206717,0.074785,59,40,1
223.84.147.58,192.168.10.5,202208152356,124,176,300,0,22,1,60.776522,0.0,584,52,60.850106,0.000301,676,52,1
77.73.131.192,192.168.10.5,202208160000,1,1,2,0,88,1,-10000,-10000,44,44,-10000,-10000,40,40,1
194.26.29.37,192.168.10.5,202208160000,3,1,4,0,35543,1,0.285691,0.020236,44,40,-10000,-10000,44,44,1
192.241.220.158,192.168.10.5,202208160001,5,5,10,0,8040,1,1.12991,0.0,80,52,1.008044,4.7e-05,60,52,1
141.98.6.162,192.168.10.5,202208160001,5,5,10,0,52869,1,1.268414,1e-06,947,52,1.008086,4.5e-05,60,52,1
61.177.173.37,192.168.10.5,202208160001,1,1,2,0,22,1,-10000,-10000,40,40,-10000,-10000,52,52,1
116.58.22.218,192.168.10.5,202208160001,4,3,7,0,3389,1,0.227286,0.000299,83,40,0.185801,0.037969,59,40,1
122.227.179.178,192.168.10.5,202208160001,2,1,3,0,6379,1,0.26898,0.26898,60,40,-10000,-10000,60,60,1
193.163.125.211,192.168.10.5,202208160001,1,6,7,0,5432,1,-10000,-10000,44,44,16.239483,1.020104,44,44,1
109.205.213.6,192.168.10.5,202208160001,2,1,3,0,28898,1,0.22459,0.22459,44,40,-10000,-10000,44,44,1
45.143.203.15,192.168.10.5,202208160001,3,1,4,0,8755,1,0.242512,0.004747,44,40,-10000,-10000,44,44,1
192.168.3.116,172.29.148.192,202208160000,20,0,20,0,55443,1,12.840834,1.018559,60,60,-10000,-10000,-10000,-10000,0
14.17.114.113,192.168.10.5,202208160002,4,3,7,0,3389,1,0.251767,0.003245,83,40,0.21174,0.041093,59,40,1
194.26.29.37,192.168.10.5,202208160002,3,1,4,0,32401,1,0.278498,0.021164,44,40,-10000,-10000,44,44,1
51.79.250.5,192.168.10.5,202208160002,4,3,7,0,3389,1,0.121545,0.001208,83,40,0.080681,0.038719,59,40,1
178.128.219.228,192.168.10.5,202208160001,239,200,439,0,1434,1,1.106976,0.0,275,40,1.086299,0.0,60,52,1
179.60.149.55,192.168.10.5,202208160002,5,4,9,0,8823,1,1.166528,0.0,87,40,1.008701,0.0,52,40,1
45.93.16.71,192.168.10.5,202208160002,3,1,4,0,5038,1,0.221,0.00359,44,40,-10000,-10000,44,44,1
170.130.187.2,192.168.10.5,202208160002,2,1,3,0,8020,1,0.118861,0.118861,44,40,-10000,-10000,44,44,1
212.192.246.198,192.168.10.5,202208160002,8,9,17,0,25,1,0.253787,0.0,52,40,0.253541,0.000245,112,40,1
92.255.85.195,192.168.10.5,202208160003,10,8,18,0,12346,1,1.313446,0.0,84,40,1.008226,0.0,52,40,1
61.222.19.133,192.168.10.5,202208160003,4,5,9,0,3391,1,1.06379,0.001196,93,40,1.008577,0.000147,52,40,1
185.7.214.117,192.168.10.5,202208160003,6,7,13,0,80,1,0.330069,0.0,299,52,0.313991,0.0,6204,52,1
179.60.147.133,192.168.10.5,202208160003,11,8,19,0,3821,1,1.2467,0.0,84,40,1.008089,9.5e-05,52,40,1
152.89.196.25,192.168.10.5,202208160003,5,4,9,0,2102,1,1.242543,0.0,87,40,1.00802,1e-06,52,40,1
170.130.187.2,192.168.10.5,202208160003,5,5,10,0,8020,1,1.132889,1e-06,155,52,1.008036,9.7e-05,60,52,1
14.17.114.113,192.168.10.5,202208160004,4,3,7,0,3389,1,0.326219,0.001459,83,40,0.21316,0.112766,59,40,1
202.39.239.24,192.168.10.5,202208160004,2,1,3,0,23,1,0.047074,0.047074,44,40,-10000,-10000,44,44,1
183.136.225.9,192.168.10.5,202208160002,36,44,80,0,2181,1,32.094958,0.000296,231,40,32.295401,9.8e-05,60,44,1
179.43.155.171,192.168.10.5,202208160003,13,8,21,0,443,1,38.294016,0.0,295,40,38.628241,0.0,1487,40,1
45.93.16.121,192.168.10.5,202208160004,3,1,4,0,5038,1,0.209719,0.002043,44,40,-10000,-10000,44,44,1
193.57.40.49,192.168.10.5,202208160004,3,1,4,0,23873,1,0.229337,0.033366,44,40,-10000,-10000,44,44,1
178.32.197.85,192.168.10.5,202208160004,5,5,10,0,3460,1,1.266355,0.008032,313,52,1.008216,9.4e-05,60,52,1
192.241.221.13,192.168.10.5,202208160003,6,11,17,0,8047,1,86.338385,0.0,80,44,54.628573,1e-06,60,44,1
45.235.98.28,192.168.10.5,202208160004,1,6,7,0,80,1,-10000,-10000,64,64,16.239838,1.036547,60,60,1
101.32.76.135,192.168.10.5,202208160004,12,14,26,0,22,1,1.102497,0.000559,492,52,0.978429,0.000996,676,52,1
116.58.22.218,192.168.10.5,202208160004,5,4,9,0,3389,1,0.600585,0.002051,83,40,0.577093,0.023452,59,40,1
51.79.250.5,192.168.10.5,202208160004,4,3,7,0,3389,1,0.137073,0.001161,83,40,0.085463,0.049151,59,40,1
138.122.99.26,192.168.10.5,202208160004,5,4,9,0,3390,1,1.185655,0.000848,83,40,1.008144,0.0,52,40,1
92.255.85.195,192.168.10.5,202208160005,10,8,18,0,36588,1,1.302126,1e-06,84,40,1.008648,0.0,52,40,1
