daytime,TP,FN,FP,TN,flow_num,TP_rate,FP_rate,FN_rate,TN_rate,accuracy,precision,f1_score,loss,benign_rate,nmr_fn_rate,nmr_benign_rate
2022-08-03 20:50:07,735.0,0.0,12.0,0.0,747.0,1.0,1.0,0.0,0.0,0.9839357429718876,0.9839357429718876,0.9919028340080972,1.0,0.01606425702811245,0.3853472882968601,0.4534094624845936
2022-08-03 21:50:07,900.0,1.0,14.0,0.0,915.0,0.9988901220865705,1.0,0.0011098779134295228,0.0,0.9836065573770492,0.9846827133479212,0.9917355371900826,1.0,0.015300546448087432,0.5451950523311131,0.40197159382593506
2022-08-03 22:50:07,867.0,44.0,12.0,0.0,923.0,0.9517014270032931,1.0,0.048298572996706916,0.0,0.9393282773564464,0.9863481228668942,0.9687150837988827,1.0,0.013001083423618635,0.5528068506184587,0.24709685445255436
2022-08-03 23:50:07,775.0,0.0,11.0,0.0,786.0,1.0,1.0,0.0,0.0,0.9860050890585241,0.9860050890585241,0.9929532351057014,1.0,0.013994910941475827,0.4224548049476689,0.31403368977991675
2022-08-04 00:50:07,748.0,0.0,15.0,0.0,763.0,1.0,1.0,0.0,0.0,0.9803407601572739,0.9803407601572739,0.9900727994705493,1.0,0.019659239842726082,0.40057088487155085,0.6955407864243165
2022-08-04 01:50:07,958.0,0.0,13.0,0.0,971.0,1.0,1.0,0.0,0.0,0.9866117404737385,0.9866117404737385,0.993260756868844,1.0,0.013388259526261586,0.5984776403425309,0.27317415917559096
2022-08-04 02:50:07,917.0,0.0,12.0,0.0,929.0,1.0,1.0,0.0,0.0,0.9870828848223897,0.9870828848223897,0.9934994582881908,1.0,0.012917115177610334,0.5585156993339675,0.2414413774660611
2022-08-04 03:50:07,794.0,0.0,11.0,0.0,805.0,1.0,1.0,0.0,0.0,0.986335403726708,0.986335403726708,0.9931207004377736,1.0,0.013664596273291925,0.44053282588011416,0.29178614867931363
2022-08-04 04:50:07,735.0,5.0,11.0,0.0,751.0,0.9932432432432432,1.0,0.006756756756756757,0.0,0.9786950732356857,0.985254691689008,0.9892328398384926,1.0,0.014647137150466045,0.3891531874405328,0.35796279977427437
2022-08-04 05:50:07,825.0,10.0,12.0,0.0,847.0,0.9880239520958084,1.0,0.011976047904191617,0.0,0.974025974025974,0.985663082437276,0.9868421052631579,1.0,0.014167650531286895,0.4804947668886775,0.32566814472299377
2022-08-04 06:50:07,691.0,33.0,12.0,0.0,736.0,0.9544198895027625,1.0,0.04558011049723757,0.0,0.938858695652174,0.9829302987197724,0.9684653118430274,1.0,0.016304347826086956,0.3748810656517602,0.4695801942452572
2022-08-04 07:50:07,783.0,0.0,15.0,0.0,798.0,1.0,1.0,0.0,0.0,0.981203007518797,0.981203007518797,0.9905123339658444,1.0,0.018796992481203006,0.43387250237868696,0.6374662125041203
2022-08-04 08:50:07,693.0,0.0,13.0,0.0,706.0,1.0,1.0,0.0,0.0,0.9815864022662889,0.9815864022662889,0.9907076483202287,1.0,0.018413597733711047,0.34633682207421507,0.6116435917604545
2022-08-04 09:50:07,854.0,1.0,12.0,0.0,867.0,0.9988304093567252,1.0,0.0011695906432748538,0.0,0.9850057670126874,0.9861431870669746,0.9924462521789656,1.0,0.01384083044982699,0.4995242626070409,0.30365597301182534
2022-08-04 10:50:07,950.0,0.0,11.0,0.0,961.0,1.0,1.0,0.0,0.0,0.9885535900104059,0.9885535900104059,0.9942438513867086,1.0,0.011446409989594173,0.5889628924833492,0.1423856065033161
2022-08-04 11:50:07,732.0,0.0,16.0,0.0,748.0,1.0,1.0,0.0,0.0,0.9786096256684492,0.9786096256684492,0.9891891891891893,1.0,0.0213903743315508,0.3862987630827783,0.8121371395398164
2022-08-04 12:50:07,608.0,2.0,12.0,0.0,622.0,0.9967213114754099,1.0,0.003278688524590164,0.0,0.977491961414791,0.9806451612903225,0.9886178861788618,1.0,0.01929260450160772,0.26641294005708854,0.670846954735549
2022-08-04 13:50:07,685.0,0.0,12.0,0.0,697.0,1.0,1.0,0.0,0.0,0.9827833572453372,0.9827833572453372,0.9913169319826338,1.0,0.01721664275466284,0.3377735490009514,0.5310256003210897
2022-08-04 14:50:07,928.0,0.0,14.0,0.0,942.0,1.0,1.0,0.0,0.0,0.9851380042462845,0.9851380042462845,0.9925133689839573,1.0,0.014861995753715499,0.5708848715509038,0.37243407842772214
2022-08-04 15:50:07,805.0,39.0,12.0,0.0,856.0,0.9537914691943128,1.0,0.0462085308056872,0.0,0.9404205607476636,0.98531211750306,0.9692956050571945,1.0,0.014018691588785047,0.4890580399619409,0.3156353774413204
2022-08-04 16:50:07,819.0,0.0,12.0,0.0,831.0,1.0,1.0,0.0,0.0,0.9855595667870036,0.9855595667870036,0.9927272727272727,1.0,0.01444043321299639,0.4652711703139866,0.344040758801052
2022-08-04 17:50:07,763.0,1.0,14.0,0.0,778.0,0.9986910994764397,1.0,0.0013089005235602095,0.0,0.980719794344473,0.9819819819819819,0.990266060999351,1.0,0.017994858611825194,0.4148430066603234,0.5834404366423193
2022-08-04 18:50:07,718.0,0.0,12.0,0.0,730.0,1.0,1.0,0.0,0.0,0.9835616438356164,0.9835616438356164,0.9917127071823205,1.0,0.01643835616438356,0.3691722169362512,0.47860599994280306
2022-08-04 19:50:07,565.0,0.0,14.0,0.0,579.0,1.0,1.0,0.0,0.0,0.9758203799654577,0.9758203799654577,0.9877622377622377,1.0,0.024179620034542316,0.22549952426260705,0.9999999999999999
