address,partner,date,rcv_packet_count,snd_packet_count,tcp_count,udp_count,most_port,port_count,rcv_max_int,rcv_min_int,rcv_max_len,rcv_min_len,snd_max_int,snd_min_int,snd_max_len,snd_min_len,label
83.48.70.199,192.168.10.5,202305240359,4,3,7,0,3389,1,0.347944,0.0,83,40,0.306155,0.041686,59,40,1
103.158.96.154,192.168.10.5,202305240359,6,4,10,0,3389,1,1.014964,0.000634,83,40,1.015697,0.059975,59,40,1
117.2.219.227,192.168.10.5,202305240357,146,135,281,0,445,1,60.018345,0.0,4218,40,59.976452,0.0,206,40,1
54.39.186.162,192.168.10.5,202305240359,4,3,7,0,3389,1,0.203148,0.000774,83,40,0.17233,0.028123,59,40,1
185.81.68.110,192.168.10.5,202305240359,3,1,4,0,1567,1,0.274391,0.000301,44,40,-10000,-10000,44,44,1
71.6.232.20,192.168.10.5,202305240358,1,6,7,0,445,1,-10000,-10000,44,44,16.240578,1.029419,44,44,1
36.134.102.251,192.168.10.5,202305240359,5,5,10,0,5900,1,0.081054,0.0,64,52,0.080019,0.001152,64,52,1
120.71.146.106,192.168.10.5,202305240359,5,5,10,0,5900,1,0.283596,0.231118,64,52,0.520122,0.001243,64,52,1
91.144.22.132,192.168.10.5,202305240359,7,5,12,0,23,1,30.343187,0.044125,52,40,30.64235,0.302733,52,40,1
162.216.18.113,192.168.10.5,202305240400,2,1,3,0,9092,1,0.15702,0.15702,44,40,-10000,-10000,44,44,1
45.79.172.21,192.168.10.5,202305240400,5,5,10,0,9092,1,1.177351,1e-06,190,52,1.008325,0.0,56,52,1
167.94.145.18,192.168.10.5,202305240400,2,1,3,0,13509,1,0.242813,0.242813,44,40,-10000,-10000,44,44,1
185.122.204.71,192.168.10.5,202305240400,3,1,4,0,1569,1,0.266329,0.002365,44,40,-10000,-10000,44,44,1
176.113.115.104,192.168.10.5,202305240400,3,1,4,0,1570,1,0.274967,0.000931,44,40,-10000,-10000,44,44,1
167.94.145.59,192.168.10.5,202305240400,14,9,23,0,13509,1,1.264835,0.0,295,40,1.260643,0.0,60,52,1
118.123.105.86,192.168.10.5,202305240400,1,0,0,1,32752,1,-10000,-10000,68,68,-10000,-10000,-10000,-10000,1
125.212.243.141,192.168.10.5,202305240400,0,1,1,0,3389,1,-10000,-10000,-10000,-10000,-10000,-10000,59,59,1
104.238.80.211,192.168.10.5,202305240400,4,4,8,0,3389,1,0.169471,1e-06,83,40,0.127223,0.000122,59,40,1
47.180.13.51,192.168.10.5,202305240400,1,6,7,0,2323,1,-10000,-10000,44,44,16.240535,1.038628,44,44,1
185.224.128.142,192.168.10.5,202305240400,14,11,25,0,22,1,1.260976,0.0,1012,52,0.972727,0.001781,699,52,1
83.48.70.199,192.168.10.5,202305240400,12,10,22,0,3389,1,54.630271,0.0,83,40,54.943691,2.8e-05,59,40,1
89.248.168.220,192.168.10.5,202305240401,3,1,4,0,56104,1,0.241522,0.005981,44,40,-10000,-10000,44,44,1
64.225.74.178,192.168.10.5,202305240401,6,5,11,0,6666,1,2.847831,0.043183,60,52,3.148114,0.0,60,52,1
111.90.33.178,192.168.10.5,202305240401,8,6,14,0,3389,1,0.205199,0.0,83,40,0.231392,0.027546,59,40,1
45.118.139.90,192.168.10.5,202305240401,4,3,7,0,3389,1,0.133181,0.0006,83,40,0.089745,0.040792,59,40,1
24.158.248.107,192.168.10.5,202305240401,2,1,3,0,23,1,0.170373,0.170373,44,40,-10000,-10000,44,44,1
62.204.41.80,192.168.10.5,202305240401,3,1,4,0,4964,1,0.278563,0.002055,44,40,-10000,-10000,44,44,1
101.34.37.129,192.168.10.5,202305240401,5,5,10,0,5900,1,0.178438,0.0,64,52,0.180134,0.000824,64,52,1
192.241.238.9,192.168.10.5,202305240401,1,6,7,0,8104,1,-10000,-10000,44,44,16.240592,1.027312,44,44,1
54.39.186.162,192.168.10.5,202305240401,4,3,7,0,3389,1,0.260354,0.000635,83,40,0.174694,0.085438,59,40,1
116.63.171.234,192.168.10.5,202305240401,6,7,13,0,5900,1,0.468244,0.0,64,52,0.36321,0.000896,64,52,1
66.240.236.119,192.168.10.5,202305240401,14,11,25,0,1935,1,32.351313,0.006532,303,40,32.4712,0.0,60,44,1
94.102.49.43,192.168.10.5,202305240402,3,1,4,0,50801,1,0.235922,0.0,44,40,-10000,-10000,44,44,1
64.225.74.178,192.168.10.5,202305240402,8,6,14,0,25,1,3.525935,0.235333,74,52,3.761268,0.00038,124,52,1
125.212.243.141,192.168.10.5,202305240402,0,1,1,0,3389,1,-10000,-10000,-10000,-10000,-10000,-10000,59,59,1
36.35.109.99,192.168.10.5,202305240402,3,2,5,0,22376,1,0.085136,0.001119,48,40,0.085328,0.085328,44,40,1
103.162.36.21,192.168.10.5,202305240402,4,3,7,0,3389,1,0.125715,0.00064,83,40,0.095972,0.031078,59,40,1
185.81.68.110,192.168.10.5,202305240402,3,1,4,0,1571,1,0.28183,0.007129,44,40,-10000,-10000,44,44,1
128.116.41.171,192.168.10.5,202305240402,2,12,14,0,80,1,19.241848,19.241848,52,52,16.240564,1.022563,52,52,1
104.238.80.211,192.168.10.5,202305240403,4,3,7,0,3389,1,0.14114,0.002096,83,40,0.123166,0.018287,59,40,1
205.210.31.245,192.168.10.5,202305240402,8,6,14,0,4443,1,53.03738,1e-06,259,40,53.303922,1e-06,60,44,1
171.249.163.194,192.168.10.5,202305240403,4,3,7,0,3389,1,0.228053,0.000915,83,40,0.202121,0.023438,59,40,1
45.118.139.94,192.168.10.5,202305240403,4,3,7,0,3389,1,0.146519,0.0,83,40,0.082336,0.063748,59,40,1
14.224.149.47,192.168.10.5,202305240403,22,19,41,0,3389,1,0.329077,0.0,83,40,0.250328,0.0,59,40,1
83.48.70.199,192.168.10.5,202305240402,12,9,21,0,3389,1,45.532568,0.000625,83,40,45.837658,0.02428,59,40,1
24.158.248.107,192.168.10.5,202305240403,6,3,9,0,23,1,36.897756,0.004777,60,40,0.180925,0.174858,60,44,1
138.68.138.152,192.168.10.5,202305240403,2,1,3,0,80,1,0.244061,0.244061,44,40,-10000,-10000,44,44,1
143.0.87.180,192.168.10.5,202305240403,7,4,11,0,23,1,30.2101,0.009537,60,40,30.495964,0.288783,60,44,1
192.241.238.9,192.168.10.5,202305240403,5,5,10,0,8104,1,1.126317,0.0,76,52,1.009051,0.0,60,52,1
146.88.240.4,192.168.10.5,202305240404,1,0,0,1,17,1,-10000,-10000,28,28,-10000,-10000,-10000,-10000,1
54.39.186.162,192.168.10.5,202305240404,4,3,7,0,3389,1,0.220123,0.000305,83,40,0.169604,0.045408,59,40,1
190.217.48.35,192.168.10.5,202305240404,4,3,7,0,3389,1,0.261506,0.000633,83,40,0.232749,0.026528,59,40,1
132.148.76.25,192.168.10.5,202305240404,2,1,3,0,3389,1,0.221479,0.221479,44,40,-10000,-10000,44,44,1
83.48.125.216,192.168.10.5,202305240404,4,3,7,0,3389,1,0.375108,0.002637,83,40,0.298069,0.076821,59,40,1
83.48.70.199,192.168.10.5,202305240404,4,3,7,0,3389,1,0.372693,0.001494,83,40,0.304316,0.068897,59,40,1
167.94.145.16,192.168.10.5,202305240404,2,1,3,0,12472,1,0.251448,0.251448,44,40,-10000,-10000,44,44,1
125.212.243.141,192.168.10.5,202305240403,4,4,8,0,3389,1,0.36912,0.109577,83,40,46.831463,0.005224,59,40,1
167.94.145.57,192.168.10.5,202305240404,14,10,24,0,12472,1,1.259808,0.0,295,40,1.251183,0.0,60,40,1
192.168.10.4,192.168.10.5,202305240404,34,12,46,0,64297,1,5.037792,0.0,575,52,5.03788,1e-06,3876,40,1
202.215.129.56,192.168.10.5,202305240404,1,6,7,0,23,1,-10000,-10000,44,44,16.236903,1.029944,44,44,1
89.248.165.214,192.168.10.5,202305240404,40,30,70,0,21931,2,3.895618,0.0,163,40,3.895951,0.0,60,52,1
167.94.138.158,192.168.10.5,202305240405,2,1,3,0,21321,1,0.193853,0.193853,44,40,-10000,-10000,44,44,1
152.89.198.103,192.168.10.5,202305240405,3,1,4,0,1572,1,0.270918,0.001076,44,40,-10000,-10000,44,44,1
167.94.138.50,192.168.10.5,202305240405,13,9,22,0,21321,1,1.213931,0.000298,295,52,1.199454,0.0,60,52,1
111.90.33.178,192.168.10.5,202305240405,8,6,14,0,3389,1,0.289576,0.0,83,40,0.309802,0.019641,59,40,1
64.225.74.178,192.168.10.5,202305240405,12,10,22,0,8080,1,6.50363,0.0,303,52,6.80362,0.0,60,52,1
104.238.80.211,192.168.10.5,202305240405,4,3,7,0,3389,1,0.14739,0.001644,83,40,0.129178,0.016287,59,40,1
124.223.73.187,192.168.10.5,202305240405,5,5,10,0,5900,1,0.173957,0.0,64,52,0.172667,0.001554,64,52,1
124.223.169.131,192.168.10.5,202305240405,5,6,11,0,5900,1,0.747696,0.000934,64,52,0.562644,0.001192,64,52,1
124.222.93.58,192.168.10.5,202305240405,6,6,12,0,5900,1,0.458861,0.0,64,52,0.458861,0.00134,64,52,1
162.142.125.231,192.168.10.5,202305240405,2,1,3,0,5620,1,0.141195,0.141195,44,40,-10000,-10000,44,44,1
162.142.125.160,192.168.10.5,202305240405,4,2,6,0,21321,2,23.240504,0.143587,60,40,23.384423,23.384423,60,60,1
162.142.125.216,192.168.10.5,202305240405,14,9,23,0,5620,1,1.155552,0.0,295,40,1.151314,0.0,60,52,1
