accuracy,f1_score,precision,recall
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9986225895316805,1.0,0.9986091794158554,0.9993041057759221
0.9987437185929648,1.0,0.9987325728770595,0.9993658845909955
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9984126984126984,1.0,0.9983974358974359,0.9991980753809142
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9985815602836879,1.0,0.9985693848354793,0.9992841803865425
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9981916817359855,1.0,0.9981684981684982,0.999083409715857
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9987864077669902,1.0,0.9987775061124694,0.999388379204893
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9907749077490775,1.0,0.9906716417910447,0.9953139643861293
0.9893428063943162,1.0,0.9892086330935251,0.9945750452079566
0.9923518164435946,1.0,0.9922480620155039,0.9961089494163424
1.0,1.0,1.0,1.0
0.9966850828729282,1.0,0.996662958843159,0.9983286908077994
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9981412639405205,1.0,0.9981203007518797,0.9990592662276576
0.9985775248933144,1.0,0.9985632183908046,0.9992810927390366
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9973045822102425,1.0,0.9972826086956522,0.998639455782313
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9964788732394366,1.0,0.9964349376114082,0.9982142857142857
1.0,1.0,1.0,1.0
0.9986893840104849,1.0,0.9986772486772487,0.99933818663137
0.99836867862969,1.0,0.9983525535420099,0.9991755976916735
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9982078853046595,1.0,0.9981884057971014,0.99909338168631
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9985734664764622,1.0,0.9985611510791367,0.9992800575953924
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.998567335243553,1.0,0.9985528219971056,0.999275887038378
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
