daytime,accuracy,loss,training_time,benign_count,malicious_count,flow_num
2022-08-03 19:51:35,0.4804401099681854,0.6688721776008606,0.7484920024871826,14,804,818
2022-08-03 20:51:35,0.9522672891616821,0.6016373038291931,0.04239344596862793,12,826,838
2022-08-03 21:51:35,0.9727272987365723,0.542880654335022,0.04008746147155762,12,758,770
2022-08-03 22:51:35,0.9880834221839905,0.47289565205574036,0.03862428665161133,12,995,1007
2022-08-03 23:51:35,0.983627200126648,0.4216213524341583,0.0443422794342041,13,781,794
2022-08-04 00:51:35,0.9842519760131836,0.3782004117965698,0.0410609245300293,12,750,762
2022-08-04 01:51:35,0.9859319925308228,0.3398708701133728,0.038636207580566406,12,841,853
2022-08-04 02:51:35,0.9877551198005676,0.32161247730255127,0.042429208755493164,12,968,980
2022-08-04 03:51:35,0.9843937754631042,0.2798452377319336,0.04180455207824707,13,820,833
2022-08-04 04:51:35,0.9867149591445923,0.23942598700523376,0.038344383239746094,11,817,828
2022-08-04 05:51:35,0.9827160239219666,0.21144935488700867,0.0402531623840332,14,796,810
2022-08-04 06:51:35,0.9842725992202759,0.17690716683864594,0.0397181510925293,12,751,763
2022-08-04 07:51:35,0.9843137264251709,0.1649724245071411,0.040474653244018555,12,753,765
2022-08-04 08:51:35,0.9841059446334839,0.14248837530612946,0.03709888458251953,12,743,755
2022-08-04 09:51:35,0.9830729365348816,0.11941149085760117,0.040212392807006836,13,755,768
2022-08-04 10:51:35,0.9853556752204895,0.09719493985176086,0.04116082191467285,14,942,956
2022-08-04 11:51:35,0.9862385392189026,0.08000629395246506,0.03963875770568848,12,860,872
2022-08-04 12:51:35,0.9806763529777527,0.07184085249900818,0.03863978385925293,12,609,621
2022-08-04 13:51:35,0.9822747707366943,0.060852184891700745,0.0460057258605957,12,665,677
2022-08-04 14:51:35,0.9820742607116699,0.04783102869987488,0.03952932357788086,14,767,781
2022-08-04 15:51:35,0.9849624037742615,0.03630349785089493,0.045836687088012695,14,917,931
2022-08-04 16:51:35,0.9852216839790344,0.03329119831323624,0.041480064392089844,12,800,812
2022-08-04 17:51:35,0.9860950112342834,0.029116181656718254,0.04477858543395996,12,851,863
2022-08-04 18:51:35,0.9808219075202942,0.030994383618235588,0.04136204719543457,14,716,730
2022-08-04 19:51:35,0.9816232919692993,0.027482151985168457,0.045752763748168945,12,641,653
2022-08-04 20:51:35,0.9778831005096436,0.02722136862576008,0.04080677032470703,14,619,633
2022-08-04 21:51:35,0.98128342628479,0.023233452811837196,0.044045209884643555,14,734,748
2022-08-04 22:51:35,0.9922308325767517,0.016193795949220657,0.040259599685668945,12,889,901
2022-08-04 23:51:35,1.0,0.014189887791872025,0.043174028396606445,12,872,884
2022-08-05 00:51:35,1.0,0.01697199046611786,0.04134321212768555,13,697,710
2022-08-05 01:51:35,1.0,0.014937197789549828,0.03907895088195801,14,764,778
2022-08-05 02:51:35,1.0,0.011294558644294739,0.04134774208068848,12,816,828
2022-08-05 03:51:35,1.0,0.011662132106721401,0.042667388916015625,12,706,718
2022-08-05 04:51:35,1.0,0.010926887392997742,0.04318356513977051,14,738,752
2022-08-05 05:51:35,1.0,0.011535338126122952,0.042763471603393555,14,661,675
2022-08-05 06:51:35,1.0,0.010823827236890793,0.04668092727661133,12,630,642
2022-08-05 07:51:35,1.0,0.008335210382938385,0.05477476119995117,13,873,886
2022-08-05 08:51:35,0.9987531304359436,0.010667696595191956,0.043654441833496094,13,789,802
2022-08-05 09:51:35,0.9989350438117981,0.009509896859526634,0.039569854736328125,12,927,939
2022-08-05 10:51:35,1.0,0.006091094110161066,0.039856672286987305,12,908,920
2022-08-05 11:51:35,1.0,0.00805390439927578,0.03873395919799805,14,726,740
2022-08-05 12:51:35,1.0,0.007218783255666494,0.04112648963928223,14,610,624
2022-08-05 13:51:35,0.9985358715057373,0.007670831400901079,0.04094290733337402,12,671,683
2022-08-05 14:21:35,0.9985358715057373,0.007670831400901079,0,0,0,0
2022-08-05 15:51:35,1.0,0.0053533450700342655,0.03785276412963867,12,773,785
2022-08-05 16:51:35,1.0,0.005423795897513628,0.04064035415649414,15,779,794
2022-08-05 17:51:35,1.0,0.005332559812813997,0.04050850868225098,12,651,663
2022-08-05 18:51:35,1.0,0.005041697062551975,0.04145407676696777,12,656,668
2022-08-05 19:51:35,1.0,0.0039637391455471516,0.041445255279541016,13,794,807
2022-08-05 20:51:35,1.0,0.004287491086870432,0.03789806365966797,13,679,692
2022-08-05 21:51:35,1.0,0.003102365881204605,0.04037809371948242,12,756,768
2022-08-05 22:51:35,1.0,0.003339896211400628,0.048357248306274414,12,736,748
2022-08-05 23:51:35,1.0,0.003535202704370022,0.04671978950500488,16,868,884
2022-08-06 00:51:35,1.0,0.0019858237355947495,0.045899152755737305,12,999,1011
2022-08-06 01:51:35,1.0,0.0025416696444153786,0.04914259910583496,12,765,777
2022-08-06 02:51:35,1.0,0.0030845298897475004,0.03878283500671387,12,639,651
2022-08-06 03:51:35,1.0,0.0027794213965535164,0.04101824760437012,12,1202,1214
2022-08-06 04:51:35,1.0,0.0019313961965963244,0.03873896598815918,14,961,975
2022-08-06 05:51:35,1.0,0.0019962340593338013,0.04064536094665527,12,803,815
2022-08-06 06:51:35,1.0,0.0021301566157490015,0.045438528060913086,13,689,702
2022-08-06 07:51:35,0.9983388781547546,0.007055481430143118,0.04385948181152344,13,589,602
2022-08-06 08:51:35,1.0,0.0019142312230542302,0.04559445381164551,13,706,719
2022-08-06 09:51:35,1.0,0.00179803476203233,0.041837453842163086,13,792,805
