daytime,TP_rate,FP_rate,TN_rate,FN_rate,accuracy,loss,f1_score,benign_count,malicious_count,flow_num,benign_rate,nmr_flow_num_ratio,nmr_benign_ratio
2022-08-03 19:21:35,0.35572139303482586,1.0,0.0,0.6442786069651741,0.34963325183374083,0.6816905407431394,0.5181159420289855,14,804,818,0.017114914425427872,0.6544000000000001,0.1198044009779951
2022-08-03 20:21:35,0.9612590799031477,1.0,0.0,0.0387409200968523,0.9474940334128878,0.6124378974572161,0.9730392156862745,12,826,838,0.014319809069212411,0.6704,0.10023866348448687
2022-08-03 21:21:35,0.9828496042216359,1.0,0.0,0.017150395778364115,0.9675324675324676,0.5515410179940146,0.9834983498349835,12,758,770,0.015584415584415584,0.616,0.10909090909090909
2022-08-03 22:21:35,1.0,1.0,0.0,0.0,0.9880834160873883,0.4850663166787176,0.994005994005994,12,995,1007,0.011916583912611719,0.8056000000000001,0.08341608738828203
2022-08-03 23:21:35,1.0,1.0,0.0,0.0,0.9836272040302267,0.42970657843013543,0.9917460317460317,13,781,794,0.0163727959697733,0.6352000000000001,0.11460957178841309
2022-08-04 00:21:35,1.0,1.0,0.0,0.0,0.984251968503937,0.38506430799693253,0.9920634920634921,12,750,762,0.015748031496062992,0.6096,0.11023622047244094
2022-08-04 01:21:35,1.0,1.0,0.0,0.0,0.9859320046893317,0.3482118872849357,0.9929161747343566,12,841,853,0.01406799531066823,0.6824,0.09847596717467762
2022-08-04 02:21:35,1.0,1.0,0.0,0.0,0.9877551020408163,0.33086356354152235,0.9938398357289527,12,968,980,0.012244897959183673,0.784,0.08571428571428572
2022-08-04 03:21:35,1.0,1.0,0.0,0.0,0.9843937575030012,0.28703885443824834,0.9921355111917726,13,820,833,0.015606242496998799,0.6664,0.1092436974789916
2022-08-04 04:21:35,1.0,1.0,0.0,0.0,0.9867149758454107,0.24573075714439108,0.9933130699088146,11,817,828,0.013285024154589372,0.6624,0.0929951690821256
2022-08-04 05:21:35,1.0,1.0,0.0,0.0,0.9827160493827161,0.21647009487015162,0.9912826899128269,14,796,810,0.01728395061728395,0.648,0.12098765432098764
2022-08-04 06:21:35,1.0,1.0,0.0,0.0,0.9842726081258192,0.1815160101000661,0.9920739762219286,12,751,763,0.015727391874180863,0.6104,0.11009174311926605
2022-08-04 07:21:35,1.0,1.0,0.0,0.0,0.984313725490196,0.1690161259982713,0.9920948616600791,12,753,765,0.01568627450980392,0.6120000000000001,0.10980392156862745
2022-08-04 08:21:35,1.0,1.0,0.0,0.0,0.9841059602649007,0.1461121961395669,0.9919893190921228,12,743,755,0.015894039735099338,0.604,0.11125827814569536
2022-08-04 09:21:35,1.0,1.0,0.0,0.0,0.9830729166666666,0.1226126114348904,0.9914642153644123,13,755,768,0.016927083333333332,0.6144000000000001,0.11848958333333333
2022-08-04 10:21:35,1.0,1.0,0.0,0.0,0.9853556485355649,0.1011517179922124,0.9926238145416227,14,942,956,0.014644351464435146,0.7648,0.10251046025104603
2022-08-04 11:21:35,1.0,1.0,0.0,0.0,0.9862385321100917,0.08305506706670109,0.9930715935334873,12,860,fl,0.013761467889908258,0.6976000000000001,0.0963302752293578
2022-08-04 12:21:35,1.0,1.0,0.0,0.0,0.9806763285024155,0.07279854839585827,0.9902439024390244,12,609,621,0.01932367149758454,0.4968,0.13526570048309178
2022-08-04 13:21:35,1.0,1.0,0.0,0.0,0.982274741506647,0.06194265648244133,0.9910581222056631,12,665,677,0.01772525849335303,0.5416000000000001,0.1240768094534712
2022-08-04 14:21:35,1.0,1.0,0.0,0.0,0.9820742637644047,0.04950950746366055,0.9909560723514211,14,767,781,0.01792573623559539,0.6248,0.12548015364916773
2022-08-04 15:21:35,1.0,1.0,0.0,0.0,0.9849624060150376,0.037412144030325,0.9924242424242424,14,917,931,0.015037593984962405,0.7448000000000001,0.10526315789473684
2022-08-04 16:21:35,1.0,1.0,0.0,0.0,0.9852216748768473,0.03416882874342044,0.9925558312655087,12,800,812,0.014778325123152709,0.6496000000000001,0.10344827586206896
2022-08-04 17:21:35,1.0,1.0,0.0,0.0,0.9860950173812283,0.029917504211617412,0.9929988331388565,12,851,863,0.013904982618771726,0.6904,0.09733487833140209
2022-08-04 18:21:35,1.0,1.0,0.0,0.0,0.9808219178082191,0.03149043494243185,0.9903181189488244,14,716,730,0.019178082191780823,0.5840000000000001,0.13424657534246576
2022-08-04 19:21:35,1.0,1.0,0.0,0.0,0.9816232771822359,0.027794745231235225,0.990726429675425,12,641,653,0.018376722817764167,0.5224000000000001,0.12863705972434916
2022-08-04 20:21:35,1.0,1.0,0.0,0.0,0.9778830963665087,0.027328616359725385,0.9888178913738019,14,619,633,0.022116903633491312,0.5064000000000001,0.15481832543443919
2022-08-04 21:21:35,1.0,1.0,0.0,0.0,0.9812834224598931,0.023626761154303233,0.99055330634278,14,734,748,0.01871657754010695,0.5984,0.13101604278074866
2022-08-04 22:21:35,1.0,1.0,0.0,0.0,0.9866814650388457,0.01656563981346822,0.9932960893854749,12,889,901,0.013318534961154272,0.7208000000000001,0.0932297447280799
2022-08-04 23:21:35,1.0,0.0,1.0,0.0,1.0,0.014503167964588913,1.0,12,872,884,0.013574660633484163,0.7072,0.09502262443438914
2022-08-05 00:21:35,1.0,0.0,1.0,0.0,1.0,0.01715441442279661,1.0,13,697,710,0.018309859154929577,0.5680000000000001,0.12816901408450704
2022-08-05 01:21:35,1.0,0.0,1.0,0.0,1.0,0.015175845155617327,1.0,14,764,778,0.017994858611825194,0.6224,0.12596401028277635
